CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH,PENETRATION_BEFORE,PENETRATION_AFTER,PENETRATION_GROWTH
3258 - TALCUM POWDER,MEDICINE & BABY CARE,1.04,1.0,-0.0385,25.5,24.0,-0.0588,1.04,1.09,0.0481,22641.0,21049.0,-0.0703,23547.0,22943.0,-0.0257,49.0,66.0,0.3469,0.0048,0.0047,-0.0208
3313 - WET TISSUE,MEDICINE & BABY CARE,1.26,1.31,0.0397,1571.5,1531.67,-0.0253,1.35,1.5,0.1111,18972.0,19477.0,0.0266,25612.0,29216.0,0.1407,2322.0,3059.0,0.3174,0.2269,0.2197,-0.0317
3333 - BABY COTTON,MEDICINE & BABY CARE,1.15,1.13,-0.0174,391.5,397.0,0.014,1.05,1.11,0.0571,7996.0,7890.0,-0.0133,8396.0,8758.0,0.0431,743.0,1070.0,0.4401,0.0726,0.0768,0.0579
3334 - REGULER COTTON BUD,MEDICINE & BABY CARE,1.1,1.15,0.0455,371.5,364.0,-0.0202,1.05,1.08,0.0286,8481.0,8805.0,0.0382,8905.0,9509.0,0.0678,707.0,1013.0,0.4328,0.0691,0.0727,0.0521
3411 - BABY SHAMPOO,MEDICINE & BABY CARE,1.08,1.11,0.0278,67.0,86.33,0.2885,1.1,1.1,0.0,17690.0,20196.0,0.1417,19459.0,22216.0,0.1417,122.0,235.0,0.9262,0.0119,0.0169,0.4202
3412 - BABY BAR SOAP,MEDICINE & BABY CARE,1.39,1.52,0.0935,113.0,122.67,0.0856,1.14,1.28,0.1228,7549.0,8004.0,0.0603,8606.0,10245.0,0.1904,198.0,287.0,0.4495,0.0193,0.0206,0.0674
3413 - BABY COLOGNE,MEDICINE & BABY CARE,1.15,1.08,-0.0609,91.0,98.67,0.0843,1.12,1.23,0.0982,32031.0,30726.0,-0.0407,35875.0,37793.0,0.0535,163.0,240.0,0.4724,0.0159,0.0172,0.0818
3414 - BABY TALCUM POWDER,MEDICINE & BABY CARE,1.15,1.1,-0.0435,193.5,177.67,-0.0818,1.09,1.12,0.0275,14675.0,13872.0,-0.0547,15996.0,15537.0,-0.0287,354.0,478.0,0.3503,0.0346,0.0343,-0.0087
"3415 - BABY LOTION, OIL & CREAM",MEDICINE & BABY CARE,1.16,1.15,-0.0086,350.5,383.67,0.0946,1.13,1.23,0.0885,28300.0,27360.0,-0.0332,31979.0,33653.0,0.0523,623.0,934.0,0.4992,0.0609,0.0671,0.1018
3416 - BABY LIQUID SOAP,MEDICINE & BABY CARE,1.16,1.18,0.0172,654.0,670.0,0.0245,1.21,1.37,0.1322,35498.0,35613.0,0.0032,42953.0,48790.0,0.1359,1080.0,1472.0,0.363,0.1055,0.1057,0.0019
3417 - BABY LIQUID DET & SOFTENER,MEDICINE & BABY CARE,1.59,1.47,-0.0755,37.0,44.33,0.1981,1.12,1.33,0.1875,43151.0,42708.0,-0.0103,48329.0,56802.0,0.1753,66.0,100.0,0.5152,0.0064,0.0072,0.125
3421 - KIDS SHAMPOO,MEDICINE & BABY CARE,1.15,1.11,-0.0348,196.5,191.67,-0.0246,1.14,1.16,0.0175,19260.0,19122.0,-0.0072,21956.0,22182.0,0.0103,346.0,495.0,0.4306,0.0338,0.0355,0.0503
3422 - KIDS COLOGNE,MEDICINE & BABY CARE,1.13,1.11,-0.0177,170.5,185.67,0.089,1.16,1.19,0.0259,19898.0,19193.0,-0.0354,23082.0,22840.0,-0.0105,293.0,469.0,0.6007,0.0286,0.0337,0.1783
3423 - KIDS LIQUID SOAP,MEDICINE & BABY CARE,1.16,1.21,0.0431,237.5,245.0,0.0316,1.16,1.31,0.1293,26008.0,25630.0,-0.0145,30169.0,33575.0,0.1129,409.0,562.0,0.3741,0.04,0.0404,0.01
3424 - TOOTH PASTE KIDS,MEDICINE & BABY CARE,1.24,1.26,0.0161,482.0,480.0,-0.0041,1.14,1.24,0.0877,11918.0,12613.0,0.0583,13587.0,15640.0,0.1511,843.0,1163.0,0.3796,0.0824,0.0835,0.0133
3425 - TOOTH BRUSH KIDS,MEDICINE & BABY CARE,1.22,1.19,-0.0246,335.5,347.0,0.0343,1.06,1.11,0.0472,15572.0,15343.0,-0.0147,16506.0,17031.0,0.0318,632.0,941.0,0.4889,0.0618,0.0676,0.0939
3426 - KIDS HAIR VITAMIN,MEDICINE & BABY CARE,1.0,1.04,0.04,12.0,18.0,0.5,1.0,1.04,0.04,15567.0,16157.0,0.0379,15567.0,16803.0,0.0794,24.0,52.0,1.1667,0.0023,0.0037,0.6087
3441 - MOTHER CARE,MEDICINE & BABY CARE,,1.0,,,0.33,,,1.0,,,65500.0,,,65500.0,,,1.0,,,0.0001,
"3443 - NURSING, BOTTLE & PACIFIER",MEDICINE & BABY CARE,1.09,1.16,0.0642,63.5,65.33,0.0288,1.08,1.12,0.037,48363.0,53170.0,0.0994,52232.0,59550.0,0.1401,118.0,175.0,0.4831,0.0115,0.0126,0.0957
