CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH,TRANSACTION_PENETRATION_BEFORE,TRANSACTION_PENETRATION_AFTER,TRANSACTION_PENETRATION_GROWTH,BUYER_PROMO_BEFORE,BUYER_PROMO_AFTER,BUYER_NON_PROMO_BEFORE,BUYER_NON_PROMO_AFTER,PROMO_SHARE_BEFORE,PROMO_SHARE_AFTER,NON_PROMO_SHARE_BEFORE,NON_PROMO_SHARE_AFTER
3213 - CONDITIONER,PERSONAL CARE,1.19,1.24,0.042,419.0,376.0,-0.1026,1.21,1.29,0.0661,32278.0,34496.0,0.0687,39056.0,44500.0,0.1394,690.0,877.0,0.271,0.0349,0.0315,-0.0974,682.0,861.0,10.0,24.0,0.9855,0.9729,0.0145,0.0271
3214 - HAIR TONIC,PERSONAL CARE,1.1,1.01,-0.0818,24.0,26.33,0.0971,1.02,1.07,0.049,44498.0,41814.0,-0.0603,45388.0,44741.0,-0.0143,47.0,74.0,0.5745,0.002,0.0022,0.1,24.0,26.0,26.0,50.0,0.48,0.3421,0.52,0.6579
3215 - HAIR STYLING,PERSONAL CARE,1.01,1.01,0.0,136.5,146.33,0.072,1.11,1.12,0.009,30740.0,29980.0,-0.0247,34121.0,33578.0,-0.0159,246.0,391.0,0.5894,0.0114,0.0123,0.0789,68.0,159.0,187.0,240.0,0.2667,0.3985,0.7333,0.6015
3216 - HAIR COLOUR,PERSONAL CARE,1.71,1.63,-0.0468,389.0,388.67,-0.0008,1.15,1.23,0.0696,32799.0,30521.0,-0.0695,37719.0,37541.0,-0.0047,676.0,949.0,0.4038,0.0324,0.0326,0.0062,534.0,729.0,196.0,301.0,0.7315,0.7078,0.2685,0.2922
3217 - HAIR MASK,PERSONAL CARE,1.37,1.41,0.0292,220.5,231.0,0.0476,1.21,1.27,0.0496,15810.0,14874.0,-0.0592,19130.0,18890.0,-0.0125,365.0,546.0,0.4959,0.0184,0.0194,0.0543,212.0,344.0,189.0,246.0,0.5287,0.5831,0.4713,0.4169
3218 - HAIR VITAMIN,PERSONAL CARE,1.12,1.17,0.0446,329.0,304.67,-0.074,1.18,1.3,0.1017,23017.0,23832.0,0.0354,27160.0,30982.0,0.1407,558.0,702.0,0.2581,0.0274,0.0255,-0.0693,314.0,461.0,266.0,296.0,0.5414,0.609,0.4586,0.391
3221 - BAR SOAP,PERSONAL CARE,1.37,1.35,-0.0146,1065.0,992.67,-0.0679,1.23,1.33,0.0813,15972.0,16329.0,0.0224,19646.0,21718.0,0.1055,1731.0,2231.0,0.2889,0.0888,0.0832,-0.0631,1237.0,1525.0,626.0,948.0,0.664,0.6167,0.336,0.3833
3222 - BEAUTY LIQUID SOAP,PERSONAL CARE,1.35,1.39,0.0296,1964.0,2256.33,0.1488,1.29,1.46,0.1318,35094.0,36678.0,0.0451,45271.0,53550.0,0.1829,3040.0,4634.0,0.5243,0.1638,0.1891,0.1545,2735.0,4345.0,418.0,440.0,0.8674,0.908,0.1326,0.092
3223 - HEALTHY LIQUID SOAP,PERSONAL CARE,1.33,1.31,-0.015,1929.5,1651.67,-0.144,1.28,1.4,0.0937,36680.0,36765.0,0.0023,46950.0,51471.0,0.0963,3014.0,3540.0,0.1745,0.1609,0.1384,-0.1398,2790.0,3279.0,328.0,415.0,0.8948,0.8877,0.1052,0.1123
3224 - FEMININ HYGIENE,PERSONAL CARE,1.04,1.03,-0.0096,149.5,146.0,-0.0234,1.12,1.2,0.0714,22242.0,22431.0,0.0085,24911.0,26917.0,0.0805,268.0,365.0,0.3619,0.0125,0.0122,-0.024,141.0,189.0,140.0,194.0,0.5018,0.4935,0.4982,0.5065
3225 - HAND SOAP,PERSONAL CARE,1.52,1.64,0.0789,402.5,436.0,0.0832,1.26,1.41,0.119,18123.0,19452.0,0.0733,22835.0,27427.0,0.2011,641.0,930.0,0.4509,0.0336,0.0365,0.0863,392.0,603.0,329.0,442.0,0.5437,0.577,0.4563,0.423
3226 - MEN SOAP,PERSONAL CARE,1.0,1.0,0.0,1.5,0.67,-0.5533,1.0,1.0,0.0,26967.0,26900.0,-0.0025,26967.0,26900.0,-0.0025,3.0,2.0,-0.3333,0.0001,0.0001,0.0,1.0,0.0,2.0,2.0,0.3333,0.0,0.6667,1.0
3231 - WOMEN DEO,PERSONAL CARE,1.2,1.23,0.025,797.0,756.67,-0.0506,1.12,1.21,0.0804,24730.0,25463.0,0.0296,27698.0,30810.0,0.1124,1420.0,1873.0,0.319,0.0665,0.0634,-0.0466,1162.0,1515.0,295.0,453.0,0.7975,0.7698,0.2025,0.2302
3232 - WOMEN PARFUME & EDT,PERSONAL CARE,1.05,1.05,0.0,310.5,348.67,0.1229,1.11,1.19,0.0721,44944.0,42148.0,-0.0622,49888.0,50156.0,0.0054,558.0,877.0,0.5717,0.0259,0.0292,0.1274,440.0,703.0,137.0,226.0,0.7626,0.7567,0.2374,0.2433
3233 - WOMEN BODY SPRAY,PERSONAL CARE,1.03,1.06,0.0291,69.0,60.33,-0.1257,1.1,1.2,0.0909,24920.0,25848.0,0.0372,27412.0,31018.0,0.1315,125.0,151.0,0.208,0.0058,0.0051,-0.1207,110.0,122.0,18.0,35.0,0.8594,0.7771,0.1406,0.2229
3234 - WOMEN COLOGNE,PERSONAL CARE,1.12,1.17,0.0446,156.0,202.67,0.2992,1.1,1.28,0.1636,18941.0,19505.0,0.0298,20835.0,24966.0,0.1983,283.0,474.0,0.6749,0.013,0.017,0.3077,215.0,415.0,79.0,91.0,0.7313,0.8202,0.2687,0.1798
3235 - MEN DEO ROLL ON,PERSONAL CARE,1.19,1.22,0.0252,504.5,553.33,0.0968,1.11,1.19,0.0721,24990.0,24895.0,-0.0038,27739.0,29625.0,0.068,912.0,1391.0,0.5252,0.0421,0.0464,0.1021,719.0,1194.0,217.0,242.0,0.7682,0.8315,0.2318,0.1685
3236 - MEN DEO SPRAY,PERSONAL CARE,,1.0,,,1.67,,,1.0,,,63120.0,,,63120.0,,,5.0,,,0.0001,,,4.0,,1.0,,0.8,,0.2
3237 - MEN BODY SPRAY,PERSONAL CARE,1.11,1.11,0.0,57.0,64.33,0.1286,1.12,1.16,0.0357,30804.0,31467.0,0.0215,34500.0,36502.0,0.058,102.0,167.0,0.6373,0.0048,0.0054,0.125,85.0,139.0,23.0,31.0,0.787,0.8176,0.213,0.1824
3238 - MEN COLOGNE,PERSONAL CARE,1.02,1.04,0.0196,21.5,28.0,0.3023,1.1,1.14,0.0364,17486.0,18225.0,0.0423,19235.0,20776.0,0.0801,39.0,74.0,0.8974,0.0018,0.0023,0.2778,9.0,67.0,31.0,10.0,0.225,0.8701,0.775,0.1299
3239 - MEN PARFUME & EDT,PERSONAL CARE,1.06,1.05,-0.0094,139.5,154.33,0.1063,1.12,1.2,0.0714,38214.0,38299.0,0.0022,42800.0,45959.0,0.0738,248.0,386.0,0.5565,0.0116,0.0129,0.1121,187.0,281.0,76.0,125.0,0.711,0.6921,0.289,0.3079
3240 - SUNSCREEN,PERSONAL CARE,1.06,1.12,0.0566,258.0,278.67,0.0801,1.08,1.15,0.0648,42456.0,44337.0,0.0443,45852.0,50988.0,0.112,478.0,729.0,0.5251,0.0215,0.0234,0.0884,334.0,498.0,154.0,272.0,0.6844,0.6468,0.3156,0.3532
3241 - FACIAL WASH SOAP,PERSONAL CARE,1.17,1.31,0.1197,1129.5,1179.0,0.0438,1.17,1.31,0.1197,38095.0,44881.0,0.1781,44571.0,58794.0,0.3191,1931.0,2708.0,0.4024,0.0942,0.0988,0.0488,1506.0,2075.0,509.0,819.0,0.7474,0.717,0.2526,0.283
3242 - FACIAL CLEANSER MILK,PERSONAL CARE,1.04,1.03,-0.0096,56.5,60.67,0.0738,1.06,1.09,0.0283,17195.0,17132.0,-0.0037,18227.0,18674.0,0.0245,107.0,167.0,0.5607,0.0047,0.0051,0.0851,35.0,79.0,75.0,94.0,0.3182,0.4566,0.6818,0.5434
