BRAND,SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
RELAXA,2323B - BAG CANDY GUMMY,2323 - BAG CANDY,BISC & CONFECTIONARY,,1.0,,,1.33,,,1.0,,,16250.0,,,16250.0,,,4.0,
YUPI,2323B - BAG CANDY GUMMY,2323 - BAG CANDY,BISC & CONFECTIONARY,1.1,1.13,0.0273,236.5,235.33,-0.0049,1.12,1.16,0.0357,16233.0,16727.0,0.0304,18181.0,19403.0,0.0672,422.0,608.0,0.4408
CHOMP-CHOMP,2324A - MARSHMALLOW,2324 - MARSHMALLOW,BISC & CONFECTIONARY,1.11,1.1,-0.009,269.0,280.0,0.0409,1.15,1.2,0.0435,11376.0,11151.0,-0.0198,13082.0,13381.0,0.0229,467.0,699.0,0.4968
CUCU,2324A - MARSHMALLOW,2324 - MARSHMALLOW,BISC & CONFECTIONARY,1.05,1.39,0.3238,32.5,31.33,-0.036,1.05,1.04,-0.0095,15425.0,20648.0,0.3386,16196.0,21474.0,0.3259,62.0,90.0,0.4516
HARIBO,2324A - MARSHMALLOW,2324 - MARSHMALLOW,BISC & CONFECTIONARY,1.0,1.5,0.5,1.5,0.67,-0.5533,1.0,1.0,0.0,13900.0,20850.0,0.5,13900.0,20850.0,0.5,3.0,2.0,-0.3333
SNACKIT,2324A - MARSHMALLOW,2324 - MARSHMALLOW,BISC & CONFECTIONARY,1.49,1.15,-0.2282,22.5,22.0,-0.0222,1.02,1.06,0.0392,14153.0,10127.0,-0.2845,14436.0,10735.0,-0.2564,44.0,62.0,0.4091
KIT KAT,2331A - ENROBED CHOCOLATE 9-19G,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,1.28,1.26,-0.0156,44.0,43.0,-0.0227,1.1,1.12,0.0182,8118.0,8036.0,-0.0101,8930.0,9000.0,0.0078,80.0,115.0,0.4375
MILKITA,2331A - ENROBED CHOCOLATE 9-19G,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,,1.18,,,3.67,,,1.0,,,6500.0,,,6500.0,,,11.0,
BENG-BENG,2331B - ENROBED CHOCOLATE 20-45G,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,1.68,1.62,-0.0357,180.0,174.0,-0.0333,1.1,1.17,0.0636,10256.0,10637.0,0.0371,11282.0,12445.0,0.1031,328.0,447.0,0.3628
CADBURY,2331B - ENROBED CHOCOLATE 20-45G,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,1.16,1.09,-0.0603,19.0,22.67,0.1932,1.03,1.05,0.0194,19463.0,18472.0,-0.0509,20047.0,19396.0,-0.0325,37.0,65.0,0.7568
CHIC CHOC,2331B - ENROBED CHOCOLATE 20-45G,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,1.66,1.62,-0.0241,274.0,267.67,-0.0231,1.22,1.24,0.0164,17598.0,16978.0,-0.0352,21470.0,21053.0,-0.0194,451.0,650.0,0.4412
CREMONA,2331B - ENROBED CHOCOLATE 20-45G,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,,1.0,,,1.33,,,1.0,,,16250.0,,,16250.0,,,4.0,
DELFI,2331B - ENROBED CHOCOLATE 20-45G,2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,1.54,1.65,0.0714,160.0,144.67,-0.0958,1.32,1.26,-0.0455,14308.0,15251.0,0.0659,18887.0,19216.0,0.0174,243.0,344.0,0.4156
