BRAND,SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
KRATING DAENG,1111A - ENERGY DRINK LIQUID BOTTLE  100-250ML,1111 - ENERGY DRINK,CHILLER,1.39,1.46,0.0504,59.5,49.0,-0.1765,9297.0,9846.0,0.0591,108.0,125.0,0.1574
M-150,1111A - ENERGY DRINK LIQUID BOTTLE  100-250ML,1111 - ENERGY DRINK,CHILLER,1.61,1.38,-0.1429,11.5,21.67,0.8843,10561.0,9109.0,-0.1375,23.0,51.0,1.2174
NEO HORMOVITON,1111A - ENERGY DRINK LIQUID BOTTLE  100-250ML,1111 - ENERGY DRINK,CHILLER,1.13,1.13,0.0,22.5,31.33,0.3924,7389.0,7371.0,-0.0024,41.0,68.0,0.6585
EXTRA JOSS,1111B - ENERGY DRINK LIQUID CAN 200-350ML,1111 - ENERGY DRINK,CHILLER,2.4,1.38,-0.425,23.5,19.33,-0.1774,20436.0,11738.0,-0.4256,43.0,52.0,0.2093
M-150,1111B - ENERGY DRINK LIQUID CAN 200-350ML,1111 - ENERGY DRINK,CHILLER,1.43,1.34,-0.0629,29.0,21.33,-0.2645,12021.0,11288.0,-0.061,38.0,41.0,0.0789
RED BULL,1111B - ENERGY DRINK LIQUID CAN 200-350ML,1111 - ENERGY DRINK,CHILLER,1.27,1.21,-0.0472,32.0,27.0,-0.1562,15513.0,16746.0,0.0795,52.0,63.0,0.2115
A&W,1112A - CARBONATED DRINK CAN 200-250ML,1112 - CARBONATED DRINK,CHILLER,1.5,1.39,-0.0733,36.0,34.67,-0.0369,10603.0,9694.0,-0.0857,63.0,80.0,0.2698
COCA COLA,1112A - CARBONATED DRINK CAN 200-250ML,1112 - CARBONATED DRINK,CHILLER,1.34,1.39,0.0373,44.0,46.33,0.053,8752.0,24230.0,1.7685,76.0,103.0,0.3553
FANTA,1112A - CARBONATED DRINK CAN 200-250ML,1112 - CARBONATED DRINK,CHILLER,,1.0,,,1.0,,,135000.0,,,3.0,
KOPI KENANGAN,1112A - CARBONATED DRINK CAN 200-250ML,1112 - CARBONATED DRINK,CHILLER,1.94,1.76,-0.0928,38.5,29.67,-0.2294,14126.0,13042.0,-0.0767,55.0,70.0,0.2727
SCHWEPPES,1112A - CARBONATED DRINK CAN 200-250ML,1112 - CARBONATED DRINK,CHILLER,3.0,2.4,-0.2,0.5,1.67,2.34,19500.0,15600.0,-0.2,1.0,4.0,3.0
SPRITE,1112A - CARBONATED DRINK CAN 200-250ML,1112 - CARBONATED DRINK,CHILLER,,1.0,,,0.67,,,135000.0,,,2.0,
F&N,1112B - CARBONATED DRINK CAN 300-330ML,1112 - CARBONATED DRINK,CHILLER,,2.0,,,2.0,,,15800.0,,,6.0,
POLARIS,1112B - CARBONATED DRINK CAN 300-330ML,1112 - CARBONATED DRINK,CHILLER,1.44,,,9.0,,,9800.0,,,14.0,,
AMO,1112C - CARBONATED DRINK PET 250-450 ML,1112 - CARBONATED DRINK,CHILLER,,1.0,,,0.67,,,4500.0,,,2.0,
BIG,1112C - CARBONATED DRINK PET 250-450 ML,1112 - CARBONATED DRINK,CHILLER,,1.67,,,43.33,,,6581.0,,,119.0,
COCA COLA,1112C - CARBONATED DRINK PET 250-450 ML,1112 - CARBONATED DRINK,CHILLER,1.45,1.47,0.0138,235.0,162.67,-0.3078,7511.0,7720.0,0.0278,384.0,389.0,0.013
FANTA,1112C - CARBONATED DRINK PET 250-450 ML,1112 - CARBONATED DRINK,CHILLER,1.5,1.51,0.0067,153.0,116.0,-0.2418,8558.0,8297.0,-0.0305,234.0,283.0,0.2094
NIPIS MADU,1112C - CARBONATED DRINK PET 250-450 ML,1112 - CARBONATED DRINK,CHILLER,1.69,1.43,-0.1538,255.0,232.33,-0.0889,6995.0,5913.0,-0.1547,416.0,561.0,0.3486
PROMO MARKETING,1112C - CARBONATED DRINK PET 250-450 ML,1112 - CARBONATED DRINK,CHILLER,1.06,1.43,0.3491,2815.0,838.33,-0.7022,6116.0,8288.0,0.3551,2862.0,1616.0,-0.4354
SPRITE,1112C - CARBONATED DRINK PET 250-450 ML,1112 - CARBONATED DRINK,CHILLER,1.41,1.39,-0.0142,237.0,215.67,-0.09,7730.0,7467.0,-0.034,407.0,554.0,0.3612
TEBS,1112C - CARBONATED DRINK PET 250-450 ML,1112 - CARBONATED DRINK,CHILLER,1.32,1.33,0.0076,32.5,2.0,-0.9385,5160.0,5200.0,0.0078,61.0,6.0,-0.9016
CHI FOREST,1112D - CARBONATED DRINK PET 425-500ML,1112 - CARBONATED DRINK,CHILLER,1.11,1.17,0.0541,95.0,92.33,-0.0281,10713.0,11031.0,0.0297,166.0,236.0,0.4217
BIG,1112E - CARBONATED DRINK PET 1000-1800ML,1112 - CARBONATED DRINK,CHILLER,1.5,,,1.0,,,20250.0,,,2.0,,
COCA COLA,1112E - CARBONATED DRINK PET 1000-1800ML,1112 - CARBONATED DRINK,CHILLER,1.2,1.27,0.0583,214.5,162.33,-0.2432,14448.0,13472.0,-0.0676,349.0,366.0,0.0487
FANTA,1112E - CARBONATED DRINK PET 1000-1800ML,1112 - CARBONATED DRINK,CHILLER,1.32,1.42,0.0758,199.0,165.67,-0.1675,15399.0,15100.0,-0.0194,363.0,394.0,0.0854
PROMO MARKETING,1112E - CARBONATED DRINK PET 1000-1800ML,1112 - CARBONATED DRINK,CHILLER,1.03,1.21,0.1748,1553.5,305.0,-0.8037,14541.0,17361.0,0.1939,1786.0,627.0,-0.6489
SPRITE,1112E - CARBONATED DRINK PET 1000-1800ML,1112 - CARBONATED DRINK,CHILLER,1.46,1.3,-0.1096,171.0,85.33,-0.501,18678.0,14107.0,-0.2447,302.0,223.0,-0.2616
ALFAMART,1113B - MINERAL WATER PET 330-400ML,1113 - MINERAL WATER,CHILLER,8.3,8.01,-0.0349,172.0,194.67,0.1318,17132.0,16153.0,-0.0571,294.0,461.0,0.568
AMIDIS,1113B - MINERAL WATER PET 330-400ML,1113 - MINERAL WATER,CHILLER,,1.61,,,6.0,,,48900.0,,,15.0,
AQUA,1113B - MINERAL WATER PET 330-400ML,1113 - MINERAL WATER,CHILLER,17.59,16.26,-0.0756,84.5,61.33,-0.2742,53124.0,50239.0,-0.0543,141.0,161.0,0.1418
AQUVIVA,1113B - MINERAL WATER PET 330-400ML,1113 - MINERAL WATER,CHILLER,,3.34,,,47.33,,,37236.0,,,109.0,
CRYSTALIN,1113B - MINERAL WATER PET 330-400ML,1113 - MINERAL WATER,CHILLER,1.59,1.47,-0.0755,16.0,18.33,0.1456,65234.0,59255.0,-0.0917,24.0,27.0,0.125
LE MINERALE,1113B - MINERAL WATER PET 330-400ML,1113 - MINERAL WATER,CHILLER,9.5,9.72,0.0232,113.5,107.33,-0.0544,29959.0,32298.0,0.0781,195.0,270.0,0.3846
PRIMA,1113B - MINERAL WATER PET 330-400ML,1113 - MINERAL WATER,CHILLER,1.12,1.0,-0.1071,4.0,3.33,-0.1675,44138.0,37400.0,-0.1527,8.0,9.0,0.125
ALFAMART,1113C - MINERAL WATER PET 500-750ML,1113 - MINERAL WATER,CHILLER,5.25,5.7,0.0857,498.5,476.33,-0.0445,11686.0,12672.0,0.0844,714.0,882.0,0.2353
AMIDIS,1113C - MINERAL WATER PET 500-750ML,1113 - MINERAL WATER,CHILLER,,1.71,,,2.33,,,117257.0,,,7.0,
AQUA,1113C - MINERAL WATER PET 500-750ML,1113 - MINERAL WATER,CHILLER,2.43,2.45,0.0082,736.5,616.67,-0.1627,9561.0,9768.0,0.0217,1151.0,1419.0,0.2328
AQUVIVA,1113C - MINERAL WATER PET 500-750ML,1113 - MINERAL WATER,CHILLER,1.59,2.04,0.283,381.0,560.67,0.4716,5584.0,7129.0,0.2767,617.0,1257.0,1.0373
CRYSTALIN,1113C - MINERAL WATER PET 500-750ML,1113 - MINERAL WATER,CHILLER,1.68,1.87,0.1131,236.0,310.0,0.3136,7723.0,10143.0,0.3133,399.0,758.0,0.8997
JIWATER,1113C - MINERAL WATER PET 500-750ML,1113 - MINERAL WATER,CHILLER,2.07,1.5,-0.2754,15.0,126.33,7.422,9300.0,6768.0,-0.2723,27.0,314.0,10.6296
LE MINERALE,1113C - MINERAL WATER PET 500-750ML,1113 - MINERAL WATER,CHILLER,2.37,2.49,0.0506,953.0,743.0,-0.2204,8828.0,9333.0,0.0572,1508.0,1739.0,0.1532
NESTLE,1113C - MINERAL WATER PET 500-750ML,1113 - MINERAL WATER,CHILLER,2.06,2.69,0.3058,355.5,353.0,-0.007,7433.0,9739.0,0.3102,573.0,848.0,0.4799
PRIMA,1113C - MINERAL WATER PET 500-750ML,1113 - MINERAL WATER,CHILLER,3.57,3.69,0.0336,222.0,221.0,-0.0045,11823.0,12322.0,0.0422,306.0,476.0,0.5556
VIT,1113C - MINERAL WATER PET 500-750ML,1113 - MINERAL WATER,CHILLER,1.37,1.48,0.0803,38.0,28.0,-0.2632,4724.0,4954.0,0.0487,69.0,82.0,0.1884
ALFAMART,1113D - MINERAL WATER PET 1-1.5L,1113 - MINERAL WATER,CHILLER,3.36,3.48,0.0357,370.0,351.33,-0.0505,15983.0,17192.0,0.0756,475.0,651.0,0.3705
AQUA,1113D - MINERAL WATER PET 1-1.5L,1113 - MINERAL WATER,CHILLER,2.33,2.21,-0.0515,379.0,338.0,-0.1082,16090.0,15686.0,-0.0251,561.0,698.0,0.2442
AQUVIVA,1113D - MINERAL WATER PET 1-1.5L,1113 - MINERAL WATER,CHILLER,1.32,1.43,0.0833,128.5,257.33,1.0026,8529.0,9127.0,0.0701,215.0,561.0,1.6093
CRYSTALIN,1113D - MINERAL WATER PET 1-1.5L,1113 - MINERAL WATER,CHILLER,1.92,2.0,0.0417,276.5,286.33,0.0356,14146.0,16771.0,0.1856,360.0,533.0,0.4806
LE MINERALE,1113D - MINERAL WATER PET 1-1.5L,1113 - MINERAL WATER,CHILLER,1.97,2.27,0.1523,573.0,542.0,-0.0541,12955.0,15319.0,0.1825,803.0,1099.0,0.3686
NESTLE,1113D - MINERAL WATER PET 1-1.5L,1113 - MINERAL WATER,CHILLER,2.53,2.61,0.0316,265.5,234.0,-0.1186,16928.0,17501.0,0.0338,317.0,462.0,0.4574
VIT,1113D - MINERAL WATER PET 1-1.5L,1113 - MINERAL WATER,CHILLER,1.38,2.23,0.6159,26.0,20.33,-0.2181,8702.0,13820.0,0.5881,43.0,55.0,0.2791
ALFA,1113I - FUNCTIONAL DRINK,1113 - MINERAL WATER,CHILLER,1.18,1.19,0.0085,30.0,44.33,0.4777,5445.0,5113.0,-0.061,55.0,116.0,1.1091
ETERNAL,1113I - FUNCTIONAL DRINK,1113 - MINERAL WATER,CHILLER,1.75,2.45,0.4,20.0,30.33,0.5165,16248.0,22716.0,0.3981,34.0,74.0,1.1765
PRISTINE,1113I - FUNCTIONAL DRINK,1113 - MINERAL WATER,CHILLER,3.52,3.13,-0.1108,403.5,345.67,-0.1433,18589.0,18848.0,0.0139,591.0,684.0,0.1574
SUPER O2,1113I - FUNCTIONAL DRINK,1113 - MINERAL WATER,CHILLER,1.63,1.6,-0.0184,31.0,37.67,0.2152,19258.0,19143.0,-0.006,44.0,90.0,1.0455
FIBE MINI,1114A - ISOTONIC DRINK PET 100-250ML,1114 - ISOTONIC DRINK,CHILLER,1.49,1.81,0.2148,41.0,38.67,-0.0568,11273.0,13840.0,0.2277,67.0,90.0,0.3433
HYDRO COCO,1114A - ISOTONIC DRINK PET 100-250ML,1114 - ISOTONIC DRINK,CHILLER,1.43,1.34,-0.0629,177.5,173.33,-0.0235,12448.0,11888.0,-0.045,303.0,430.0,0.4191
100 PLUS,1114B - ISOTONIC DRINK PET 300-380ML,1114 - ISOTONIC DRINK,CHILLER,3.9,2.54,-0.3487,5.0,4.33,-0.134,27310.0,17592.0,-0.3558,9.0,10.0,0.1111
HYDRO COCO,1114B - ISOTONIC DRINK PET 300-380ML,1114 - ISOTONIC DRINK,CHILLER,1.39,1.13,-0.1871,44.0,34.33,-0.2198,17575.0,14467.0,-0.1768,80.0,80.0,0.0
HYDROPLUS,1114B - ISOTONIC DRINK PET 300-380ML,1114 - ISOTONIC DRINK,CHILLER,3.4,2.81,-0.1735,28.5,14.33,-0.4972,19935.0,16619.0,-0.1663,48.0,32.0,-0.3333
ICHITAN,1114B - ISOTONIC DRINK PET 300-380ML,1114 - ISOTONIC DRINK,CHILLER,1.09,1.32,0.211,16.0,12.33,-0.2294,8066.0,9865.0,0.223,26.0,29.0,0.1154
IF,1114B - ISOTONIC DRINK PET 300-380ML,1114 - ISOTONIC DRINK,CHILLER,,1.42,,,4.0,,,20958.0,,,11.0,
ISOPLUS,1114B - ISOTONIC DRINK PET 300-380ML,1114 - ISOTONIC DRINK,CHILLER,1.45,1.61,0.1103,153.0,146.33,-0.0436,5148.0,5535.0,0.0752,242.0,343.0,0.4174
POCARI SWEAT,1114B - ISOTONIC DRINK PET 300-380ML,1114 - ISOTONIC DRINK,CHILLER,1.44,1.41,-0.0208,138.0,158.67,0.1498,10533.0,10260.0,-0.0259,243.0,425.0,0.749
HYDRO COCO,1114C - ISOTONIC DRINK PET 450-500ML,1114 - ISOTONIC DRINK,CHILLER,1.17,1.19,0.0171,216.5,246.33,0.1378,18752.0,19161.0,0.0218,367.0,580.0,0.5804
MIZONE,1114C - ISOTONIC DRINK PET 450-500ML,1114 - ISOTONIC DRINK,CHILLER,1.38,1.85,0.3406,216.0,115.67,-0.4645,9092.0,12083.0,0.329,372.0,303.0,-0.1855
POCARI SWEAT,1114C - ISOTONIC DRINK PET 450-500ML,1114 - ISOTONIC DRINK,CHILLER,1.31,1.38,0.0534,292.5,317.67,0.0861,10867.0,11326.0,0.0422,497.0,806.0,0.6217
POKKA,1114C - ISOTONIC DRINK PET 450-500ML,1114 - ISOTONIC DRINK,CHILLER,1.13,1.76,0.5575,66.0,5.67,-0.9141,8975.0,13929.0,0.552,125.0,17.0,-0.864
REGEN,1114C - ISOTONIC DRINK PET 450-500ML,1114 - ISOTONIC DRINK,CHILLER,2.38,2.11,-0.1134,78.5,207.0,1.6369,34692.0,30637.0,-0.1169,140.0,524.0,2.7429
YOU C1000 WATER,1114C - ISOTONIC DRINK PET 450-500ML,1114 - ISOTONIC DRINK,CHILLER,1.29,1.34,0.0388,236.5,216.0,-0.0867,11498.0,11918.0,0.0365,414.0,524.0,0.2657
POCARI SWEAT,1114D - ISOTONIC DRINK CAN 330ML,1114 - ISOTONIC DRINK,CHILLER,1.58,1.5,-0.0506,26.0,20.67,-0.205,11017.0,10523.0,-0.0448,49.0,57.0,0.1633
HYDRO COCO,1114E - ISOTONIC DRINK PET 900ML-1.5L,1114 - ISOTONIC DRINK,CHILLER,1.12,1.2,0.0714,47.5,61.0,0.2842,28882.0,30630.0,0.0605,84.0,147.0,0.75
POCARI SWEAT,1114E - ISOTONIC DRINK PET 900ML-1.5L,1114 - ISOTONIC DRINK,CHILLER,1.1,1.1,0.0,77.5,76.67,-0.0107,15290.0,15533.0,0.0159,139.0,191.0,0.3741
POCARI SWEAT,1114F - ISOTONIC DRINK PET 2L,1114 - ISOTONIC DRINK,CHILLER,1.14,1.14,0.0,55.5,66.67,0.2013,27414.0,27834.0,0.0153,105.0,155.0,0.4762
ACARAKI,1115A - REMEDIES DRINK CAN,1115 - REMEDIES DRINK,CHILLER,1.29,1.0,-0.2248,3.5,1.67,-0.5229,14986.0,12660.0,-0.1552,7.0,5.0,-0.2857
ADEM SARI,1115A - REMEDIES DRINK CAN,1115 - REMEDIES DRINK,CHILLER,1.31,1.48,0.1298,164.5,176.33,0.0719,12338.0,14045.0,0.1384,288.0,445.0,0.5451
BADAK,1115A - REMEDIES DRINK CAN,1115 - REMEDIES DRINK,CHILLER,1.48,1.47,-0.0068,272.0,276.33,0.0159,11730.0,11805.0,0.0064,460.0,676.0,0.4696
COOLTOPIA,1115A - REMEDIES DRINK CAN,1115 - REMEDIES DRINK,CHILLER,1.12,1.14,0.0179,33.0,37.33,0.1312,8541.0,8805.0,0.0309,60.0,106.0,0.7667
KAKI TIGA,1115A - REMEDIES DRINK CAN,1115 - REMEDIES DRINK,CHILLER,1.46,1.41,-0.0342,291.5,274.67,-0.0577,10867.0,10603.0,-0.0243,503.0,673.0,0.338
LASEGAR,1115A - REMEDIES DRINK CAN,1115 - REMEDIES DRINK,CHILLER,1.82,1.79,-0.0165,113.0,190.0,0.6814,13848.0,13681.0,-0.0121,184.0,431.0,1.3424
ADEM SARI,1115C - REMEDIES DRINK PET 150-350ML,1115 - REMEDIES DRINK,CHILLER,1.23,1.42,0.1545,82.5,113.0,0.3697,11630.0,13578.0,0.1675,149.0,283.0,0.8993
ALANG SARI,1115C - REMEDIES DRINK PET 150-350ML,1115 - REMEDIES DRINK,CHILLER,1.29,1.26,-0.0233,56.0,56.0,0.0,11332.0,11096.0,-0.0208,85.0,154.0,0.8118
BADAK,1115C - REMEDIES DRINK PET 150-350ML,1115 - REMEDIES DRINK,CHILLER,1.56,1.44,-0.0769,70.5,71.33,0.0118,12125.0,11251.0,-0.0721,130.0,200.0,0.5385
KAKI TIGA,1115C - REMEDIES DRINK PET 150-350ML,1115 - REMEDIES DRINK,CHILLER,1.2,1.4,0.1667,46.5,38.0,-0.1828,9070.0,10876.0,0.1991,88.0,107.0,0.2159
KIRANTI,1115C - REMEDIES DRINK PET 150-350ML,1115 - REMEDIES DRINK,CHILLER,1.73,1.73,0.0,275.0,246.0,-0.1055,13873.0,13829.0,-0.0032,463.0,582.0,0.257
KUAS,1115C - REMEDIES DRINK PET 150-350ML,1115 - REMEDIES DRINK,CHILLER,1.0,1.0,0.0,0.5,0.67,0.34,10500.0,10900.0,0.0381,1.0,2.0,1.0
PANJANG JIWO,1115C - REMEDIES DRINK PET 150-350ML,1115 - REMEDIES DRINK,CHILLER,1.0,,,0.5,,,5500.0,,,1.0,,
BADAK,1115D - REMEDIES DRINK PET 500-600ML,1115 - REMEDIES DRINK,CHILLER,1.55,1.51,-0.0258,168.5,189.0,0.1217,13853.0,13564.0,-0.0209,303.0,482.0,0.5908
KAKI TIGA,1115D - REMEDIES DRINK PET 500-600ML,1115 - REMEDIES DRINK,CHILLER,1.73,1.58,-0.0867,166.5,187.33,0.1251,14746.0,13500.0,-0.0845,283.0,478.0,0.689
AMUNIZER,1116A - VITAMIN DRINK 100-150ML,1116 - VITAMIN DRINK,CHILLER,1.14,1.32,0.1579,31.5,48.33,0.5343,10156.0,11714.0,0.1534,56.0,117.0,1.0893
FITMEUP,1116A - VITAMIN DRINK 100-150ML,1116 - VITAMIN DRINK,CHILLER,,2.12,,,2.67,,,18062.0,,,8.0,
ORONAMIN,1116A - VITAMIN DRINK 100-150ML,1116 - VITAMIN DRINK,CHILLER,1.34,1.71,0.2761,45.0,47.33,0.0518,9480.0,12044.0,0.2705,66.0,110.0,0.6667
TROPICANA,1116A - VITAMIN DRINK 100-150ML,1116 - VITAMIN DRINK,CHILLER,2.6,2.62,0.0077,2.5,2.67,0.068,24940.0,25150.0,0.0084,5.0,8.0,0.6
YOU C1000,1116A - VITAMIN DRINK 100-150ML,1116 - VITAMIN DRINK,CHILLER,1.66,1.54,-0.0723,942.5,773.0,-0.1798,13148.0,12418.0,-0.0555,1502.0,1731.0,0.1525
HEMAVITON,1116B - VITAMIN DRINK 300-500ML,1116 - VITAMIN DRINK,CHILLER,2.05,2.14,0.0439,103.0,132.0,0.2816,15590.0,16277.0,0.0441,174.0,318.0,0.8276
BIOKUL,1117A - YOGHURT BEVERAGE,1117 - YOGHURT BEVERAGE,CHILLER,1.58,1.51,-0.0443,94.5,101.0,0.0688,12614.0,12092.0,-0.0414,160.0,234.0,0.4625
HEAVENLY BLUSH,1117A - YOGHURT BEVERAGE,1117 - YOGHURT BEVERAGE,CHILLER,1.22,1.0,-0.1803,11.5,1.0,-0.913,15452.0,12867.0,-0.1673,21.0,3.0,-0.8571
INDOMILK,1117A - YOGHURT BEVERAGE,1117 - YOGHURT BEVERAGE,CHILLER,1.67,1.61,-0.0359,158.0,168.67,0.0675,10840.0,10469.0,-0.0342,261.0,414.0,0.5862
KIN,1117A - YOGHURT BEVERAGE,1117 - YOGHURT BEVERAGE,CHILLER,1.54,2.11,0.3701,129.0,132.0,0.0233,15290.0,20948.0,0.37,219.0,312.0,0.4247
BINTANG,1118A - CARBONATED MALT,1118 - CARBONATED MALT,CHILLER,17.86,18.08,0.0123,155.5,168.33,0.0825,164673.0,168111.0,0.0209,154.0,258.0,0.6753
GREEN SANDS,1118A - CARBONATED MALT,1118 - CARBONATED MALT,CHILLER,2.09,2.21,0.0574,70.5,116.0,0.6454,15000.0,15727.0,0.0485,122.0,262.0,1.1475
GROOVY,1118B - CARBONATED MALT PACK,1118 - CARBONATED MALT,CHILLER,1.51,1.52,0.0066,17.5,21.33,0.2189,12131.0,12022.0,-0.009,30.0,60.0,1.0
CAP PANDA,1121C - GRASS JELLY,1121 - DESSERT,CHILLER,1.21,1.31,0.0826,164.0,67.0,-0.5915,9416.0,10159.0,0.0789,282.0,171.0,-0.3936
DAY DAY,1121C - GRASS JELLY,1121 - DESSERT,CHILLER,,4.6,,,1.67,,,30020.0,,,5.0,
DELMONTE,1121C - GRASS JELLY,1121 - DESSERT,CHILLER,1.15,1.65,0.4348,65.5,31.67,-0.5165,12423.0,18069.0,0.4545,113.0,78.0,-0.3097
YEO'S,1121C - GRASS JELLY,1121 - DESSERT,CHILLER,1.39,1.84,0.3237,16.5,17.0,0.0303,10364.0,13563.0,0.3087,32.0,42.0,0.3125
BUAVITA,1151B - JUICE TETRAPACK 125-150ML,1151 - RTD JUICE,CHILLER,4.83,2.18,-0.5487,3.0,3.67,0.2233,24650.0,11127.0,-0.5486,6.0,11.0,0.8333
ULTRA,1151B - JUICE TETRAPACK 125-150ML,1151 - RTD JUICE,CHILLER,1.76,1.65,-0.0625,12.5,13.33,0.0664,7208.0,6780.0,-0.0594,22.0,39.0,0.7727
NUTRI SARI,1151C - JUICE TETRAPACK 200ML,1151 - RTD JUICE,CHILLER,1.44,1.67,0.1597,42.5,77.67,0.8275,12416.0,14290.0,0.1509,70.0,183.0,1.6143
ABC,1151D - JUICE TETRAPACK 240-250ML,1151 - RTD JUICE,CHILLER,1.63,1.34,-0.1779,93.0,120.33,0.2939,9083.0,7276.0,-0.1989,159.0,318.0,1.0
BUAVITA,1151D - JUICE TETRAPACK 240-250ML,1151 - RTD JUICE,CHILLER,1.76,1.93,0.0966,144.5,200.67,0.3887,16688.0,18365.0,0.1005,248.0,499.0,1.0121
COUNTRY CHOICE,1151D - JUICE TETRAPACK 240-250ML,1151 - RTD JUICE,CHILLER,1.0,,,0.5,,,6900.0,,,1.0,,
ULTRA,1151D - JUICE TETRAPACK 240-250ML,1151 - RTD JUICE,CHILLER,1.82,1.57,-0.1374,60.0,88.67,0.4778,11102.0,9098.0,-0.1805,106.0,230.0,1.1698
ABC,1151E - JUICE TETRAPACK 750-1200ML,1151 - RTD JUICE,CHILLER,1.29,,,3.5,,,13500.0,,,7.0,,
BUAVITA,1151E - JUICE TETRAPACK 750-1200ML,1151 - RTD JUICE,CHILLER,1.32,1.27,-0.0379,18.5,29.67,0.6038,43159.0,40384.0,-0.0643,35.0,66.0,0.8857
COUNTRY CHOICE,1151E - JUICE TETRAPACK 750-1200ML,1151 - RTD JUICE,CHILLER,1.0,1.67,0.67,1.0,2.0,1.0,23900.0,39833.0,0.6667,2.0,6.0,2.0
MINUTE MAID,1151E - JUICE TETRAPACK 750-1200ML,1151 - RTD JUICE,CHILLER,1.52,1.2,-0.2105,43.0,1.67,-0.9612,24076.0,18840.0,-0.2175,79.0,5.0,-0.9367
PROMO MARKETING,1151E - JUICE TETRAPACK 750-1200ML,1151 - RTD JUICE,CHILLER,1.0,1.07,0.07,576.5,9.0,-0.9844,14550.0,15574.0,0.0704,818.0,27.0,-0.967
COCA COLA,1151F - JUICE PET 200-450ML,1151 - RTD JUICE,CHILLER,1.04,1.3,0.25,1049.0,27.67,-0.9736,7578.0,9499.0,0.2535,1360.0,77.0,-0.9434
FLORIDINA,1151F - JUICE PET 200-450ML,1151 - RTD JUICE,CHILLER,1.13,1.55,0.3717,692.5,132.67,-0.8084,4064.0,5475.0,0.3472,989.0,327.0,-0.6694
FRUITAMIN,1151F - JUICE PET 200-450ML,1151 - RTD JUICE,CHILLER,1.15,1.2,0.0435,13.0,18.67,0.4362,8438.0,8670.0,0.0275,24.0,51.0,1.125
ICHITAN,1151F - JUICE PET 200-450ML,1151 - RTD JUICE,CHILLER,1.27,1.13,-0.1102,22.5,21.0,-0.0667,11773.0,10456.0,-0.1119,42.0,58.0,0.381
MINUTE MAID,1151F - JUICE PET 200-450ML,1151 - RTD JUICE,CHILLER,2.65,3.08,0.1623,47.0,12.67,-0.7304,16279.0,14584.0,-0.1041,81.0,33.0,-0.5926
MOGU-MOGU,1151F - JUICE PET 200-450ML,1151 - RTD JUICE,CHILLER,1.23,1.33,0.0813,142.0,117.67,-0.1713,14785.0,15882.0,0.0742,243.0,301.0,0.2387
NUTRIBOOST,1151F - JUICE PET 200-450ML,1151 - RTD JUICE,CHILLER,1.51,2.08,0.3775,109.0,4.0,-0.9633,11416.0,12775.0,0.119,170.0,11.0,-0.9353
PALDO,1151F - JUICE PET 200-450ML,1151 - RTD JUICE,CHILLER,1.24,1.21,-0.0242,131.0,141.0,0.0763,18367.0,17924.0,-0.0241,227.0,358.0,0.5771
PROMO MARKETING,1151F - JUICE PET 200-450ML,1151 - RTD JUICE,CHILLER,1.06,1.28,0.2075,1082.5,56.0,-0.9483,5960.0,7167.0,0.2025,1470.0,158.0,-0.8925
YEO'S,1151F - JUICE PET 200-450ML,1151 - RTD JUICE,CHILLER,1.0,2.0,1.0,0.5,0.67,0.34,7500.0,15000.0,1.0,1.0,2.0,1.0
OLATTE,1151H - JUICE CAN 230-350ML,1151 - RTD JUICE,CHILLER,1.57,1.15,-0.2675,46.5,43.0,-0.0753,18215.0,13512.0,-0.2582,84.0,117.0,0.3929
SUNPRIDE,1151H - JUICE CAN 230-350ML,1151 - RTD JUICE,CHILLER,1.29,1.78,0.3798,20.5,53.67,1.618,15395.0,21060.0,0.368,35.0,150.0,3.2857
YEO'S,1151H - JUICE CAN 230-350ML,1151 - RTD JUICE,CHILLER,2.0,3.8,0.9,0.5,1.67,2.34,15000.0,28500.0,0.9,1.0,5.0,4.0
S-TEE,1154A - RTD TEA TETRAPACK 200-240ML,1154 - RTD TEA,CHILLER,4.75,4.35,-0.0842,35.5,31.33,-0.1175,20404.0,16796.0,-0.1768,65.0,81.0,0.2462
SOSRO,1154A - RTD TEA TETRAPACK 200-240ML,1154 - RTD TEA,CHILLER,5.76,1.43,-0.7517,8.5,4.67,-0.4506,374971.0,92857.0,-0.7524,13.0,11.0,-0.1538
ULTRA,1154A - RTD TEA TETRAPACK 200-240ML,1154 - RTD TEA,CHILLER,2.46,2.47,0.0041,147.0,124.0,-0.1565,10450.0,10549.0,0.0095,241.0,309.0,0.2822
FRUIT TEA,1154B - RTD TEA TETRAPACK 250-500ML,1154 - RTD TEA,CHILLER,1.44,2.78,0.9306,27.5,49.0,0.7818,5322.0,9844.0,0.8497,54.0,127.0,1.3519
SOSRO,1154B - RTD TEA TETRAPACK 250-500ML,1154 - RTD TEA,CHILLER,3.1,2.19,-0.2935,310.5,130.0,-0.5813,11546.0,8213.0,-0.2887,522.0,308.0,-0.41
