BRAND,SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
NISSIN,2222E - COOKIES BISCUIT 250-300G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.05,1.13,0.0762,55.5,73.67,0.3274,12568.0,13786.0,0.0969,104.0,210.0,1.0192
ROMA,2222E - COOKIES BISCUIT 250-300G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.11,1.18,0.0631,610.0,664.33,0.0891,14356.0,15048.0,0.0482,1019.0,1589.0,0.5594
7+,2222F - HEALTHY COOKIES BISCUIT,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.78,1.62,-0.0899,57.5,66.0,0.1478,16765.0,15201.0,-0.0933,105.0,180.0,0.7143
DIABETASOL,2222F - HEALTHY COOKIES BISCUIT,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.2,1.0,-0.1667,2.5,3.0,0.2,24060.0,20322.0,-0.1554,5.0,7.0,0.4
FITBAR,2222F - HEALTHY COOKIES BISCUIT,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,2.2,3.03,0.3773,402.5,670.33,0.6654,12844.0,17636.0,0.3731,679.0,1581.0,1.3284
KOKO KRUNCH,2222F - HEALTHY COOKIES BISCUIT,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.0,,,1.5,,,4167.0,,,3.0,,
L-MEN,2222F - HEALTHY COOKIES BISCUIT,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.52,1.46,-0.0395,26.0,34.33,0.3204,19938.0,20164.0,0.0113,49.0,88.0,0.7959
MILO,2222F - HEALTHY COOKIES BISCUIT,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.29,1.26,-0.0233,24.0,30.67,0.2779,11458.0,11229.0,-0.02,39.0,90.0,1.3077
NARAYA,2222F - HEALTHY COOKIES BISCUIT,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.16,1.09,-0.0603,73.5,73.0,-0.0068,19966.0,18922.0,-0.0523,124.0,191.0,0.5403
OATBIT,2222F - HEALTHY COOKIES BISCUIT,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.55,1.49,-0.0387,25.5,23.33,-0.0851,12504.0,13189.0,0.0548,49.0,58.0,0.1837
OATSIDE,2222F - HEALTHY COOKIES BISCUIT,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,5.14,3.58,-0.3035,7.0,38.0,4.4286,30857.0,21611.0,-0.2996,14.0,102.0,6.2857
SOY JOY,2222F - HEALTHY COOKIES BISCUIT,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,2.2,1.68,-0.2364,169.0,139.67,-0.1736,23142.0,17689.0,-0.2356,297.0,349.0,0.1751
