CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH,PENETRATION_BEFORE,PENETRATION_AFTER,PENETRATION_GROWTH
3282 - DISPOSABLE RAZOR,PERSONAL CARE,1.05,1.05,0.0,382.0,379.0,-0.0079,19269.0,19814.0,0.0283,718.0,1031.0,0.4359,0.0428,0.0471,0.1005
3283 - REFILL RAZOR,PERSONAL CARE,1.06,1.0,-0.0566,26.5,34.0,0.283,26779.0,25483.0,-0.0484,51.0,97.0,0.902,0.003,0.0044,0.4667
3284 - SHAVING CARE,PERSONAL CARE,1.0,1.0,0.0,3.5,3.67,0.0486,46971.0,52082.0,0.1088,6.0,11.0,0.8333,0.0004,0.0005,0.25
3331 - BEAUTY COTTON,PERSONAL CARE,1.05,1.06,0.0095,863.0,840.0,-0.0267,12512.0,12033.0,-0.0383,1568.0,2136.0,0.3622,0.0935,0.0977,0.0449
4271 - BATHROOM ACCESSORIES,PERSONAL CARE,1.02,1.01,-0.0098,43.5,34.67,-0.203,16982.0,17535.0,0.0326,86.0,102.0,0.186,0.0051,0.0047,-0.0784
3321 - SANITARY NAPKINS WINGS,SANITARY ADULT,1.11,1.11,0.0,2783.0,2932.33,0.0537,24279.0,24356.0,0.0032,4873.0,7164.0,0.4701,0.3438,0.3719,0.0817
3322 - SANITARY NAPKINS NON WINGS,SANITARY ADULT,1.08,1.09,0.0093,836.5,799.0,-0.0448,19941.0,19852.0,-0.0045,1488.0,2014.0,0.3535,0.105,0.1045,-0.0048
3323 - PANTYLINERS,SANITARY ADULT,1.13,1.15,0.0177,1327.0,1417.67,0.0683,18064.0,18062.0,-0.0001,2208.0,3206.0,0.452,0.1558,0.1664,0.068
3324 - ADULT DIAPERS,SANITARY ADULT,1.47,1.54,0.0476,852.0,817.33,-0.0407,91422.0,98158.0,0.0737,842.0,1152.0,0.3682,0.0594,0.0598,0.0067
3325 - SANITARY NAPKINS NIGHT,SANITARY ADULT,1.34,1.34,0.0,4899.5,4920.0,0.0042,27873.0,27917.0,0.0016,8035.0,10969.0,0.3652,0.5669,0.5694,0.0044
4261 - CLOTHING ACCESSORIES,SANITARY ADULT,1.29,1.31,0.0155,3.5,4.33,0.2371,28729.0,25377.0,-0.1167,7.0,13.0,0.8571,0.0005,0.0007,0.4
5512 - LADIES PANTY,SANITARY ADULT,1.14,1.08,-0.0526,61.5,49.33,-0.1979,39366.0,37422.0,-0.0494,114.0,142.0,0.2456,0.008,0.0074,-0.075
5516 - MEN UNDERWEAR,SANITARY ADULT,1.22,1.17,-0.041,57.0,52.0,-0.0877,55136.0,56737.0,0.029,113.0,149.0,0.3186,0.008,0.0077,-0.0375
5721 - TOWEL,SANITARY ADULT,1.13,1.04,-0.0796,30.5,38.0,0.2459,44807.0,39998.0,-0.1073,60.0,111.0,0.85,0.0042,0.0058,0.381
2211 - PEANUTS,SNACK,1.25,1.3,0.04,1779.0,1733.67,-0.0255,17612.0,18383.0,0.0438,2836.0,4045.0,0.4263,0.1105,0.1225,0.1086
2212 - POTATOES,SNACK,1.44,1.4,-0.0278,6466.0,6099.0,-0.0568,20171.0,19259.0,-0.0452,9396.0,12477.0,0.3279,0.3662,0.3779,0.0319
2213 - EXTRUDED & PELLET,SNACK,1.64,1.63,-0.0061,10826.5,9839.0,-0.0912,14244.0,14330.0,0.006,14479.0,18296.0,0.2636,0.5643,0.5542,-0.0179
2214 - TRADITIONAL SNACK,SNACK,1.21,1.21,0.0,2257.5,2288.0,0.0135,17658.0,17726.0,0.0039,3512.0,4953.0,0.4103,0.1369,0.15,0.0957
2215 - CASSAVA,SNACK,1.26,1.3,0.0317,2086.0,2083.67,-0.0011,14585.0,14749.0,0.0112,3353.0,4778.0,0.425,0.1307,0.1447,0.1071
2216 - SEAWEED,SNACK,1.41,1.73,0.227,1662.0,2107.0,0.2677,16868.0,20757.0,0.2306,2558.0,4438.0,0.7349,0.0997,0.1344,0.348
2217 - CORN,SNACK,1.59,1.25,-0.2138,3161.5,2583.33,-0.1829,18584.0,14826.0,-0.2022,5159.0,6046.0,0.1719,0.2011,0.1831,-0.0895
6228 - PROCESSED MEAT,SNACK,1.53,1.58,0.0327,504.0,503.33,-0.0013,14684.0,14452.0,-0.0158,842.0,1192.0,0.4157,0.0328,0.0361,0.1006
1511 - RICE,STAPLE NEED,1.28,1.25,-0.0234,1233.0,429.33,-0.6518,93132.0,92858.0,-0.0029,1390.0,896.0,-0.3554,0.2242,0.1137,-0.4929
1512 - SUGAR,STAPLE NEED,2.04,2.31,0.1324,1011.0,1071.33,0.0597,35691.0,40137.0,0.1246,1187.0,1706.0,0.4372,0.1914,0.2164,0.1306
1513 - FLOUR,STAPLE NEED,1.28,1.23,-0.0391,234.5,256.33,0.0931,16117.0,15385.0,-0.0454,379.0,616.0,0.6253,0.0611,0.0782,0.2799
1521 - PALM COOKING OIL,STAPLE NEED,1.6,1.62,0.0125,2164.5,2583.0,0.1933,63136.0,64081.0,0.015,2513.0,3718.0,0.4795,0.4053,0.4717,0.1638
1522 - OTHER COOKING OIL,STAPLE NEED,1.06,1.15,0.0849,17.0,11.33,-0.3335,80247.0,86735.0,0.0809,29.0,26.0,-0.1034,0.0047,0.0033,-0.2979
1523 - MARGARINE & BUTTER,STAPLE NEED,1.33,1.37,0.0301,363.0,422.33,0.1634,12824.0,12363.0,-0.0359,605.0,956.0,0.5802,0.0976,0.1213,0.2428
1531 - SEED & BEAN,STAPLE NEED,1.22,1.31,0.0738,23.0,17.0,-0.2609,15052.0,14916.0,-0.009,38.0,44.0,0.1579,0.0061,0.0056,-0.082
1532 - SUNDRIED CRACKER,STAPLE NEED,1.12,1.0,-0.1071,8.0,6.33,-0.2088,9800.0,8700.0,-0.1122,14.0,17.0,0.2143,0.0023,0.0022,-0.0435
1611 - POWDER JELLY,STAPLE NEED,2.01,2.02,0.005,86.5,109.33,0.2639,12851.0,12916.0,0.0051,154.0,253.0,0.6429,0.0248,0.0321,0.2944
1612 - PROCESSED PUDDING,STAPLE NEED,1.48,1.46,-0.0135,129.0,135.0,0.0465,18383.0,18594.0,0.0115,217.0,328.0,0.5115,0.035,0.0416,0.1886
1621 - ESSENCE,STAPLE NEED,1.05,1.12,0.0667,21.0,19.0,-0.0952,10400.0,11088.0,0.0662,39.0,55.0,0.4103,0.0063,0.007,0.1111
1622 - COLOURING & FLAVOURING,STAPLE NEED,1.21,1.08,-0.1074,14.5,12.67,-0.1262,25662.0,26045.0,0.0149,24.0,35.0,0.4583,0.0039,0.0044,0.1282
1623 - BAKING POWDER,STAPLE NEED,1.25,1.19,-0.048,40.5,35.33,-0.1277,8723.0,8508.0,-0.0246,73.0,99.0,0.3562,0.0118,0.0126,0.0678
1624 - INSTANT PROCESS FOOD,STAPLE NEED,1.08,1.1,0.0185,19.0,20.33,0.07,18603.0,19049.0,0.024,33.0,52.0,0.5758,0.0053,0.0066,0.2453
1625 - COCONUT MILK,STAPLE NEED,2.17,1.95,-0.1014,350.5,303.67,-0.1336,15051.0,13946.0,-0.0734,538.0,624.0,0.1599,0.0868,0.0792,-0.0876
1711 - MSG ( MONO SODIUM GLUTAMATE ),STAPLE NEED,1.16,1.13,-0.0259,90.0,85.0,-0.0556,9202.0,9266.0,0.007,154.0,206.0,0.3377,0.0248,0.0261,0.0524
1712 - SALT,STAPLE NEED,1.14,1.14,0.0,114.5,108.67,-0.0509,11230.0,11254.0,0.0021,212.0,267.0,0.2594,0.0342,0.0339,-0.0088
1713 - SPICES,STAPLE NEED,1.22,1.28,0.0492,43.5,48.67,0.1189,10690.0,15116.0,0.414,79.0,129.0,0.6329,0.0127,0.0164,0.2913
1714 - STOCK SOUP,STAPLE NEED,1.34,1.3,-0.0299,332.5,323.0,-0.0286,11856.0,11398.0,-0.0386,519.0,689.0,0.3276,0.0837,0.0874,0.0442
1715 - MEAL MAKER,STAPLE NEED,1.8,1.86,0.0333,272.5,191.0,-0.2991,8879.0,8951.0,0.0081,459.0,457.0,-0.0044,0.074,0.058,-0.2162
1716 - FLOUR SEASONING,STAPLE NEED,1.47,1.51,0.0272,272.5,275.0,0.0092,11199.0,11614.0,0.0371,442.0,608.0,0.3756,0.0713,0.0771,0.0813
"1717 - SHRIMP PASTE, PEANUT SAUCE AND OTHER",STAPLE NEED,1.1,1.08,-0.0182,29.0,26.0,-0.1034,13181.0,12351.0,-0.063,53.0,65.0,0.2264,0.0085,0.0082,-0.0353
1721 - CHILLI,STAPLE NEED,1.21,1.19,-0.0165,582.5,578.0,-0.0077,16290.0,16077.0,-0.0131,993.0,1403.0,0.4129,0.1601,0.178,0.1118
1722 - TOMATO,STAPLE NEED,1.14,1.19,0.0439,175.5,180.0,0.0256,15366.0,14910.0,-0.0297,310.0,459.0,0.4806,0.05,0.0582,0.164
1723 - SOY SAUCE,STAPLE NEED,2.12,2.17,0.0236,694.5,851.67,0.2263,49433.0,48899.0,-0.0108,1030.0,1602.0,0.5553,0.1661,0.2032,0.2234
1724 - LIQUID SAUCE & VINEGAR,STAPLE NEED,1.11,1.09,-0.018,202.5,226.33,0.1177,17717.0,17715.0,-0.0001,361.0,572.0,0.5845,0.0582,0.0726,0.2474
1725 - DRESSING,STAPLE NEED,1.62,1.67,0.0309,113.5,116.0,0.022,17418.0,16697.0,-0.0414,206.0,290.0,0.4078,0.0332,0.0368,0.1084
1811 - CANNED MEAT,STAPLE NEED,1.16,1.15,-0.0086,58.5,54.33,-0.0713,17397.0,19489.0,0.1203,86.0,125.0,0.4535,0.0139,0.0159,0.1439
1812 - CANNED SEAFOOD,STAPLE NEED,1.38,1.38,0.0,202.5,190.67,-0.0584,21272.0,21818.0,0.0257,339.0,457.0,0.3481,0.0547,0.058,0.0603
1814 - CANNED FRUIT,STAPLE NEED,1.0,1.0,0.0,0.5,0.33,-0.34,22500.0,22500.0,0.0,1.0,1.0,0.0,0.0002,0.0001,-0.5
1821 - DRIED MEAT,STAPLE NEED,1.22,1.13,-0.0738,23.0,27.33,0.1883,19909.0,18622.0,-0.0646,37.0,72.0,0.9459,0.006,0.0091,0.5167
1915 - PASTA,STAPLE NEED,2.85,2.5,-0.1228,473.0,510.67,0.0796,13004.0,11923.0,-0.0831,789.0,1188.0,0.5057,0.1272,0.1507,0.1847
1921 - INSTANT SOUP,STAPLE NEED,1.19,1.26,0.0588,15.5,18.0,0.1613,12381.0,12963.0,0.047,31.0,45.0,0.4516,0.005,0.0057,0.14
1922 - INSTANT RICE,STAPLE NEED,1.0,1.86,0.86,1.5,2.33,0.5533,134167.0,73229.0,-0.4542,3.0,5.0,0.6667,0.0005,0.0006,0.2
