BRAND,SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
KARA,1121B - NATA DE COCO (FAMILY PACK),1121 - DESSERT,BEVERAGES,1.15,1.18,0.0261,60.0,66.67,0.1112,1.1,1.14,0.0364,23911.0,24603.0,0.0289,26302.0,28047.0,0.0663,109.0,176.0,0.6147
WONG COCO,1121B - NATA DE COCO (FAMILY PACK),1121 - DESSERT,BEVERAGES,1.0,1.14,0.14,0.5,2.33,3.66,1.0,1.17,0.17,20000.0,22571.0,0.1286,20000.0,26408.0,0.3204,1.0,6.0,5.0
KIKO,1121D - ICE POP,1121 - DESSERT,BEVERAGES,1.71,1.5,-0.1228,3.5,1.33,-0.62,2.33,2.0,-0.1416,22929.0,19500.0,-0.1495,53425.0,39000.0,-0.27,3.0,2.0,-0.3333
PINO,1121D - ICE POP,1121 - DESSERT,BEVERAGES,1.38,1.01,-0.2681,68.0,150.33,1.2107,1.15,1.17,0.0174,13934.0,10400.0,-0.2536,16024.0,12168.0,-0.2406,118.0,384.0,2.2542
WONG COCO,1121D - ICE POP,1121 - DESSERT,BEVERAGES,1.83,1.38,-0.2459,6.0,2.67,-0.555,1.09,1.0,-0.0826,15883.0,11838.0,-0.2547,17312.0,11838.0,-0.3162,11.0,8.0,-0.2727
PRIMA RASA,1121E - MIXED FRUIT,1121 - DESSERT,BEVERAGES,1.24,1.83,0.4758,16.5,17.33,0.0503,1.1,1.18,0.0727,11673.0,16823.0,0.4412,12840.0,19851.0,0.546,30.0,44.0,0.4667
KURNIA,1141A - SYRUP BOTTLE & POUCH,1141 - SYRUP,BEVERAGES,1.07,1.0,-0.0654,7.5,4.0,-0.4667,1.15,1.09,-0.0522,28587.0,26942.0,-0.0575,32875.0,29367.0,-0.1067,13.0,11.0,-0.1538
MARJAN,1141A - SYRUP BOTTLE & POUCH,1141 - SYRUP,BEVERAGES,1.23,1.2,-0.0244,112.5,138.67,0.2326,1.05,1.11,0.0571,33070.0,32511.0,-0.0169,34724.0,36087.0,0.0393,215.0,375.0,0.7442
SARANG TAWON,1141A - SYRUP BOTTLE & POUCH,1141 - SYRUP,BEVERAGES,1.23,1.06,-0.1382,6.5,5.67,-0.1277,1.08,1.13,0.0463,35969.0,31841.0,-0.1148,38847.0,35980.0,-0.0738,12.0,15.0,0.25
SIROP CAP BANGAU,1141A - SYRUP BOTTLE & POUCH,1141 - SYRUP,BEVERAGES,1.21,1.17,-0.0331,9.5,18.0,0.8947,1.0,1.08,0.08,32437.0,31383.0,-0.0325,32437.0,33894.0,0.0449,19.0,50.0,1.6316
SUN QUICK,1141A - SYRUP BOTTLE & POUCH,1141 - SYRUP,BEVERAGES,1.0,1.6,0.6,0.5,1.67,2.34,1.0,1.0,0.0,39900.0,59080.0,0.4807,39900.0,59080.0,0.4807,1.0,5.0,4.0
ABC,1142A - SQUASH BOTTLE,1142 - SQUASH,BEVERAGES,1.34,1.32,-0.0149,58.0,31.0,-0.4655,1.12,1.06,-0.0536,24224.0,24526.0,0.0125,27131.0,25998.0,-0.0418,104.0,88.0,-0.1538
MARJAN,1142A - SQUASH BOTTLE,1142 - SQUASH,BEVERAGES,1.8,,,5.0,,,1.11,,,26100.0,,,28971.0,,,9.0,,
NUTRI SARI,1144A - POWDER DRINK BOX,1144 - POWDER DRINK,BEVERAGES,,1.0,,,0.33,,,1.0,,,41900.0,,,41900.0,,,1.0,
TROPICANA,1144A - POWDER DRINK BOX,1144 - POWDER DRINK,BEVERAGES,1.0,1.0,0.0,2.5,1.67,-0.332,1.0,1.25,0.25,61260.0,61260.0,0.0,61260.0,76575.0,0.25,5.0,4.0,-0.2
NUTRI SARI,1144C - POWDER DRINK BAG,1144 - POWDER DRINK,BEVERAGES,1.13,1.2,0.0619,27.0,59.67,1.21,1.12,1.21,0.0804,18594.0,19456.0,0.0464,20825.0,23542.0,0.1305,48.0,148.0,2.0833
SOSRO,1154C - RTD TEA TETRAPACK 1L,1154 - RTD TEA,BEVERAGES,1.36,1.33,-0.0221,285.0,202.33,-0.2901,1.31,1.62,0.2366,14927.0,14530.0,-0.0266,19554.0,23539.0,0.2038,434.0,375.0,-0.1359
ULTRA,1154C - RTD TEA TETRAPACK 1L,1154 - RTD TEA,BEVERAGES,1.31,1.07,-0.1832,27.5,23.67,-0.1393,1.34,1.34,0.0,16684.0,13810.0,-0.1723,22357.0,18505.0,-0.1723,41.0,53.0,0.2927
AMH,1231A - TRADITIONAL DRINK SACHET 4-8S,1231 - TRADITIONAL DRINK,BEVERAGES,1.07,1.13,0.0561,37.5,47.0,0.2533,1.09,1.08,-0.0092,8841.0,9208.0,0.0415,9637.0,9945.0,0.032,69.0,131.0,0.8986
ANGET SARI,1231A - TRADITIONAL DRINK SACHET 4-8S,1231 - TRADITIONAL DRINK,BEVERAGES,1.05,1.05,0.0,52.0,57.67,0.109,1.16,1.12,-0.0345,9049.0,9080.0,0.0034,10497.0,10170.0,-0.0312,90.0,155.0,0.7222
SIDOMUNCUL,1231A - TRADITIONAL DRINK SACHET 4-8S,1231 - TRADITIONAL DRINK,BEVERAGES,1.1,1.07,-0.0273,90.5,83.67,-0.0755,1.1,1.18,0.0727,15157.0,14402.0,-0.0498,16673.0,16994.0,0.0193,164.0,213.0,0.2988
XTRAGIN,1231A - TRADITIONAL DRINK SACHET 4-8S,1231 - TRADITIONAL DRINK,BEVERAGES,1.29,1.16,-0.1008,7.0,15.0,1.1429,1.08,1.1,0.0185,19829.0,17951.0,-0.0947,21415.0,19746.0,-0.0779,13.0,41.0,2.1538
KEPALA JENGGOT,1231B - TRADITIONAL DRINK SACHET >=10S,1231 - TRADITIONAL DRINK,BEVERAGES,1.0,2.33,1.33,0.5,1.0,1.0,1.0,1.0,0.0,22500.0,52500.0,1.3333,22500.0,52500.0,1.3333,1.0,3.0,2.0
SIDOMUNCUL,1231B - TRADITIONAL DRINK SACHET >=10S,1231 - TRADITIONAL DRINK,BEVERAGES,1.0,1.0,0.0,10.0,15.33,0.533,1.0,1.07,0.07,23050.0,23000.0,-0.0022,23050.0,24610.0,0.0677,20.0,43.0,1.15
DIAMOND,2023D - TETRAPAK LIQUID MILK 900-1000ML,2023 - TETRAPACK LIQUID MILK,BEVERAGES,1.2,1.2,0.0,299.0,320.67,0.0725,1.3,1.32,0.0154,26443.0,26318.0,-0.0047,34376.0,34740.0,0.0106,461.0,731.0,0.5857
FRISIAN FLAG,2023D - TETRAPAK LIQUID MILK 900-1000ML,2023 - TETRAPACK LIQUID MILK,BEVERAGES,1.3,1.36,0.0462,990.0,947.67,-0.0428,1.32,1.45,0.0985,28354.0,28540.0,0.0066,37427.0,41383.0,0.1057,1497.0,1960.0,0.3093
GREENFIELDS,2023D - TETRAPAK LIQUID MILK 900-1000ML,2023 - TETRAPACK LIQUID MILK,BEVERAGES,1.34,1.32,-0.0149,471.5,597.67,0.2676,1.31,1.41,0.0763,33694.0,31620.0,-0.0616,44139.0,44584.0,0.0101,720.0,1272.0,0.7667
INDOMILK,2023D - TETRAPAK LIQUID MILK 900-1000ML,2023 - TETRAPACK LIQUID MILK,BEVERAGES,1.47,1.5,0.0204,833.0,932.67,0.1197,1.37,1.56,0.1387,28447.0,28329.0,-0.0041,38972.0,44193.0,0.134,1217.0,1789.0,0.47
ULTRA,2023D - TETRAPAK LIQUID MILK 900-1000ML,2023 - TETRAPACK LIQUID MILK,BEVERAGES,1.59,1.55,-0.0252,2459.5,2488.0,0.0116,1.46,1.64,0.1233,35276.0,34129.0,-0.0325,51503.0,55972.0,0.0868,3375.0,4555.0,0.3496
DANCOW,2023E - TETRAPAK LIQUID MILK PACKED,2023 - TETRAPACK LIQUID MILK,BEVERAGES,1.65,1.15,-0.303,73.0,66.33,-0.0914,1.26,1.21,-0.0397,21343.0,14896.0,-0.3021,26892.0,18024.0,-0.3298,116.0,164.0,0.4138
FRISIAN FLAG,2023E - TETRAPAK LIQUID MILK PACKED,2023 - TETRAPACK LIQUID MILK,BEVERAGES,1.5,1.48,-0.0133,946.0,1803.0,0.9059,1.38,1.63,0.1812,27608.0,27073.0,-0.0194,38099.0,44129.0,0.1583,1375.0,3316.0,1.4116
INDOMILK,2023E - TETRAPAK LIQUID MILK PACKED,2023 - TETRAPACK LIQUID MILK,BEVERAGES,1.28,1.18,-0.0781,293.5,200.0,-0.3186,1.28,1.34,0.0469,22495.0,20836.0,-0.0737,28794.0,27920.0,-0.0304,458.0,447.0,-0.024
MILO,2023E - TETRAPAK LIQUID MILK PACKED,2023 - TETRAPACK LIQUID MILK,BEVERAGES,1.22,1.21,-0.0082,200.5,254.0,0.2668,1.31,1.48,0.1298,18295.0,18462.0,0.0091,23966.0,27324.0,0.1401,305.0,516.0,0.6918
ALFAMART,1311A - JAM 120-180G,1311 - JAM,BREAD CORNER (BC),1.08,1.07,-0.0093,183.0,208.33,0.1384,1.13,1.15,0.0177,14993.0,15345.0,0.0235,16942.0,17647.0,0.0416,323.0,545.0,0.6873
LEAN LAB,1311A - JAM 120-180G,1311 - JAM,BREAD CORNER (BC),1.0,1.25,0.25,2.0,2.67,0.335,1.0,1.33,0.33,42900.0,52175.0,0.2162,42900.0,69393.0,0.6176,4.0,6.0,0.5
LOTUS,1311A - JAM 120-180G,1311 - JAM,BREAD CORNER (BC),1.0,1.1,0.1,2.0,3.33,0.665,1.0,1.25,0.25,79500.0,88220.0,0.1097,79500.0,110275.0,0.3871,4.0,8.0,1.0
MORIN,1311A - JAM 120-180G,1311 - JAM,BREAD CORNER (BC),1.08,1.08,0.0,156.0,204.33,0.3098,1.09,1.15,0.055,27073.0,27588.0,0.019,29510.0,31726.0,0.0751,286.0,534.0,0.8671
SKIPPY,1311A - JAM 120-180G,1311 - JAM,BREAD CORNER (BC),1.02,1.0,-0.0196,54.0,49.67,-0.0802,1.09,1.06,-0.0275,31200.0,30603.0,-0.0191,34008.0,32439.0,-0.0461,99.0,140.0,0.4141
ALFAMART,1311B - JAM 200-300G,1311 - JAM,BREAD CORNER (BC),1.0,1.0,0.0,28.5,31.0,0.0877,1.04,1.12,0.0769,22989.0,22604.0,-0.0167,23909.0,25316.0,0.0588,55.0,83.0,0.5091
GROUU,1311B - JAM 200-300G,1311 - JAM,BREAD CORNER (BC),1.0,1.0,0.0,1.0,0.67,-0.33,1.0,1.0,0.0,42900.0,42900.0,0.0,42900.0,42900.0,0.0,2.0,2.0,0.0
MORIN,1311B - JAM 200-300G,1311 - JAM,BREAD CORNER (BC),1.18,1.08,-0.0847,5.5,12.67,1.3036,1.1,1.23,0.1182,33927.0,36350.0,0.0714,37320.0,44710.0,0.198,10.0,31.0,2.1
TROPICANA,1311B - JAM 200-300G,1311 - JAM,BREAD CORNER (BC),1.0,1.0,0.0,1.0,0.33,-0.67,1.0,1.0,0.0,115700.0,112500.0,-0.0277,115700.0,112500.0,-0.0277,2.0,1.0,-0.5
MORIN,1311C - JAM 340-400G,1311 - JAM,BREAD CORNER (BC),1.0,1.0,0.0,2.5,1.0,-0.6,1.25,1.0,-0.2,59020.0,57900.0,-0.019,73775.0,57900.0,-0.2152,4.0,3.0,-0.25
NOCCIO,1311C - JAM 340-400G,1311 - JAM,BREAD CORNER (BC),1.0,1.0,0.0,1.5,0.67,-0.5533,1.5,1.0,-0.3333,48900.0,48900.0,0.0,73350.0,48900.0,-0.3333,2.0,2.0,0.0
SUNPRIDE,1311C - JAM 340-400G,1311 - JAM,BREAD CORNER (BC),,1.5,,,1.33,,,1.33,,,57750.0,,,76808.0,,,3.0,
TONG GARDEN,1311C - JAM 340-400G,1311 - JAM,BREAD CORNER (BC),1.11,1.0,-0.0991,4.5,3.0,-0.3333,1.5,1.12,-0.2533,47378.0,40900.0,-0.1367,71067.0,45808.0,-0.3554,6.0,8.0,0.3333
TROPICANA,1311C - JAM 340-400G,1311 - JAM,BREAD CORNER (BC),1.0,1.0,0.0,2.0,2.33,0.165,1.0,1.0,0.0,89000.0,88000.0,-0.0112,89000.0,88000.0,-0.0112,4.0,7.0,0.75
CERES,1312A - CHOCOLATE SPREAD,1312 - CHOCOLATE SPREAD,BREAD CORNER (BC),1.02,1.03,0.0098,260.5,268.33,0.0301,1.14,1.18,0.0351,40004.0,42088.0,0.0521,45605.0,49664.0,0.089,459.0,680.0,0.4815
COLATTA,1312A - CHOCOLATE SPREAD,1312 - CHOCOLATE SPREAD,BREAD CORNER (BC),1.08,1.19,0.1019,6.0,5.33,-0.1117,1.0,1.0,0.0,21558.0,24188.0,0.122,21558.0,24188.0,0.122,12.0,16.0,0.3333
GOLDENFIL,1312A - CHOCOLATE SPREAD,1312 - CHOCOLATE SPREAD,BREAD CORNER (BC),1.01,1.0,-0.0099,51.0,75.33,0.4771,1.04,1.12,0.0769,40852.0,40755.0,-0.0024,42486.0,45646.0,0.0744,98.0,201.0,1.051
NUTELLA,1312A - CHOCOLATE SPREAD,1312 - CHOCOLATE SPREAD,BREAD CORNER (BC),1.04,1.03,-0.0096,99.0,122.67,0.2391,1.09,1.12,0.0275,52003.0,49893.0,-0.0406,56683.0,55880.0,-0.0142,181.0,328.0,0.8122
OVOMALTINE,1312A - CHOCOLATE SPREAD,1312 - CHOCOLATE SPREAD,BREAD CORNER (BC),1.07,1.06,-0.0093,27.0,33.33,0.2344,1.15,1.16,0.0087,68576.0,67696.0,-0.0128,78862.0,78527.0,-0.0042,47.0,86.0,0.8298
