SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
2121C - BABY CEREAL BAG,2121 - BABY CEREAL,MILK & DIAPERS,1.56,1.77,0.1346,51.0,69.67,0.3661,1.31,1.63,0.2443,13829.0,20017.0,0.4475,18116.0,32628.0,0.8011,78.0,128.0,0.641
2122A - BABY BISCUIT,2122 - BABY BISCUIT & SNACK,MILK & DIAPERS,1.21,1.27,0.0496,113.0,131.67,0.1652,1.31,1.43,0.0916,17710.0,19176.0,0.0828,23200.0,27422.0,0.182,173.0,276.0,0.5954
2122B - BABY SNACK,2122 - BABY BISCUIT & SNACK,MILK & DIAPERS,2.02,1.99,-0.0149,767.5,678.0,-0.1166,1.68,1.87,0.1131,20387.0,20190.0,-0.0097,34250.0,37755.0,0.1023,916.0,1089.0,0.1889
2131A - PREGNANT MILK 150-250G,2131 - PREGNANT MILK,MILK & DIAPERS,1.03,1.05,0.0194,30.0,29.0,-0.0333,1.25,1.26,0.008,47667.0,49175.0,0.0316,59584.0,61960.0,0.0399,48.0,69.0,0.4375
2131B - PREGNANT MILK 300-400G,2131 - PREGNANT MILK,MILK & DIAPERS,1.12,1.03,-0.0804,24.0,25.0,0.0417,1.41,1.27,-0.0993,99477.0,91699.0,-0.0782,140263.0,116458.0,-0.1697,34.0,59.0,0.7353
3431A - REGULAR DIAPERS SIZE-S,3431 - REGULAR DIAPERS,MILK & DIAPERS,1.15,1.14,-0.0087,96.5,103.0,0.0674,1.47,1.66,0.1293,66457.0,67178.0,0.0108,97692.0,111515.0,0.1415,131.0,186.0,0.4198
3431B - REGULAR DIAPERS SIZE-M,3431 - REGULAR DIAPERS,MILK & DIAPERS,1.27,1.1,-0.1339,7.5,6.67,-0.1107,1.36,1.67,0.2279,58013.0,52145.0,-0.1011,78898.0,87082.0,0.1037,11.0,12.0,0.0909
3432A - PANTS DIAPERS SIZE-S 18-22S,3432 - PANTS DIAPERS,MILK & DIAPERS,1.11,1.22,0.0991,9.5,3.0,-0.6842,1.36,1.12,-0.1765,79068.0,88667.0,0.1214,107532.0,99307.0,-0.0765,14.0,8.0,-0.4286
3432B - PANTS DIAPERS SIZE-S 24-38S,3432 - PANTS DIAPERS,MILK & DIAPERS,1.09,1.12,0.0275,96.5,87.33,-0.095,1.6,1.72,0.075,66823.0,68090.0,0.019,106917.0,117115.0,0.0954,121.0,152.0,0.2562
3432C - PANTS DIAPERS SIZE-M 18-22S,3432 - PANTS DIAPERS,MILK & DIAPERS,1.0,1.0,0.0,12.0,2.67,-0.7775,2.0,1.14,-0.43,44204.0,44000.0,-0.0046,88408.0,50160.0,-0.4326,12.0,7.0,-0.4167
