SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
3415D - BABY HAIR LOTION,"3415 - BABY LOTION, OIL & CREAM",MEDICINE & BABY CARE,1.06,1.03,-0.0283,127.5,125.33,-0.017,1.1,1.2,0.0909,28257.0,27943.0,-0.0111,31083.0,33532.0,0.0788,232.0,314.0,0.3534
3416A - BABY LIQUID SOAP 100-300ML,3416 - BABY LIQUID SOAP,MEDICINE & BABY CARE,1.14,1.17,0.0263,245.0,244.33,-0.0027,1.11,1.22,0.0991,33791.0,34873.0,0.032,37508.0,42545.0,0.1343,440.0,599.0,0.3614
3416B - BABY LIQUID SOAP 400-600ML,3416 - BABY LIQUID SOAP,MEDICINE & BABY CARE,1.16,1.17,0.0086,416.0,433.67,0.0425,1.2,1.31,0.0917,35906.0,35373.0,-0.0148,43087.0,46339.0,0.0755,692.0,990.0,0.4306
3417A - BABY LIQUID DET,3417 - BABY LIQUID DET & SOFTENER,MEDICINE & BABY CARE,1.14,1.2,0.0526,28.5,33.67,0.1814,1.1,1.25,0.1364,32311.0,35106.0,0.0865,35542.0,43882.0,0.2347,52.0,81.0,0.5577
3417B - BABY FABRIC SOFTENER,3417 - BABY LIQUID DET & SOFTENER,MEDICINE & BABY CARE,2.94,1.85,-0.3707,9.0,13.33,0.4811,1.2,1.48,0.2333,75083.0,53360.0,-0.2893,90100.0,78973.0,-0.1235,15.0,27.0,0.8
3421B - KIDS SHAMPOO 125-200ML,3421 - KIDS SHAMPOO,MEDICINE & BABY CARE,1.15,1.11,-0.0348,196.0,191.33,-0.0238,1.14,1.16,0.0175,19251.0,19116.0,-0.007,21946.0,22175.0,0.0104,345.0,494.0,0.4319
3421C - KIDS SHAMPOO 250-750ML,3421 - KIDS SHAMPOO,MEDICINE & BABY CARE,1.0,1.0,0.0,0.5,0.33,-0.34,1.0,1.0,0.0,22900.0,22900.0,0.0,22900.0,22900.0,0.0,1.0,1.0,0.0
3422A - KIDS COLOGNE,3422 - KIDS COLOGNE,MEDICINE & BABY CARE,1.13,1.11,-0.0177,170.5,185.67,0.089,1.16,1.19,0.0259,19898.0,19193.0,-0.0354,23082.0,22840.0,-0.0105,293.0,469.0,0.6007
3423A - KIDS LIQUID SOAP,3423 - KIDS LIQUID SOAP,MEDICINE & BABY CARE,1.16,1.21,0.0431,237.5,245.0,0.0316,1.16,1.31,0.1293,26008.0,25630.0,-0.0145,30169.0,33575.0,0.1129,409.0,562.0,0.3741
3424A - TOOTH PASTE KIDS 45-60G,3424 - TOOTH PASTE KIDS,MEDICINE & BABY CARE,1.24,1.26,0.0161,482.0,480.0,-0.0041,1.14,1.24,0.0877,11918.0,12613.0,0.0583,13587.0,15640.0,0.1511,843.0,1163.0,0.3796
3425A - TOOTH BRUSH KIDS,3425 - TOOTH BRUSH KIDS,MEDICINE & BABY CARE,1.22,1.19,-0.0246,335.5,347.0,0.0343,1.06,1.11,0.0472,15572.0,15343.0,-0.0147,16506.0,17031.0,0.0318,632.0,941.0,0.4889
3426A - KIDS HAIR VITAMIN,3426 - KIDS HAIR VITAMIN,MEDICINE & BABY CARE,1.0,1.04,0.04,12.0,18.0,0.5,1.0,1.04,0.04,15567.0,16157.0,0.0379,15567.0,16803.0,0.0794,24.0,52.0,1.1667
3441A - MOTHER CARE,3441 - MOTHER CARE,MEDICINE & BABY CARE,,1.0,,,0.33,,,1.0,,,65500.0,,,65500.0,,,1.0,
"3443A - NURSING,BOTTLE,PACIFIER DOT","3443 - NURSING, BOTTLE & PACIFIER",MEDICINE & BABY CARE,1.08,1.04,-0.037,32.0,29.67,-0.0728,1.07,1.13,0.0561,42603.0,46099.0,0.0821,45585.0,52092.0,0.1427,60.0,79.0,0.3167
