BRAND,SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
BUAVITA,1151E - JUICE TETRAPACK 750-1200ML,1151 - RTD JUICE,CHILLER,1.2,1.29,0.075,2.5,2.33,-0.068,0.5,0.33,-0.34,39480.0,40643.0,0.0295,19740.0,13412.0,-0.3206,5.0,7.0,0.4
MINUTE MAID,1151E - JUICE TETRAPACK 750-1200ML,1151 - RTD JUICE,CHILLER,1.5,2.0,0.3333,5.0,0.67,-0.866,0.71,0.33,-0.5352,23610.0,31400.0,0.3299,16763.0,10362.0,-0.3819,7.0,2.0,-0.7143
PROMO MARKETING,1151E - JUICE TETRAPACK 750-1200ML,1151 - RTD JUICE,CHILLER,1.0,1.21,0.21,90.0,4.67,-0.9481,0.85,0.42,-0.5059,14500.0,17607.0,0.2143,12325.0,7395.0,-0.4,106.0,11.0,-0.8962
COCA COLA,1151F - JUICE PET 200-450ML,1151 - RTD JUICE,CHILLER,1.14,,,238.0,,,1.06,,,8358.0,,,8859.0,,,225.0,,
FLORIDINA,1151F - JUICE PET 200-450ML,1151 - RTD JUICE,CHILLER,1.1,1.3,0.1818,91.5,29.67,-0.6757,0.76,0.38,-0.5,3681.0,4688.0,0.2736,2798.0,1781.0,-0.3635,121.0,78.0,-0.3554
FRUITAMIN,1151F - JUICE PET 200-450ML,1151 - RTD JUICE,CHILLER,1.0,1.27,0.27,6.0,3.67,-0.3883,0.55,0.52,-0.0545,7200.0,9164.0,0.2728,3960.0,4765.0,0.2033,11.0,7.0,-0.3636
ICHITAN,1151F - JUICE PET 200-450ML,1151 - RTD JUICE,CHILLER,1.22,1.1,-0.0984,4.5,3.33,-0.26,0.64,0.37,-0.4219,11244.0,10120.0,-0.1,7196.0,3744.0,-0.4797,7.0,9.0,0.2857
MINUTE MAID,1151F - JUICE PET 200-450ML,1151 - RTD JUICE,CHILLER,2.29,,,10.5,,,0.55,,,13867.0,,,7627.0,,,19.0,,
MOGU-MOGU,1151F - JUICE PET 200-450ML,1151 - RTD JUICE,CHILLER,1.1,1.14,0.0364,29.0,31.33,0.0803,0.59,0.41,-0.3051,13131.0,13573.0,0.0337,7747.0,5565.0,-0.2817,49.0,76.0,0.551
NUTRIBOOST,1151F - JUICE PET 200-450ML,1151 - RTD JUICE,CHILLER,1.57,2.0,0.2739,30.5,1.33,-0.9564,0.56,0.33,-0.4107,11795.0,15000.0,0.2717,6605.0,4950.0,-0.2506,54.0,4.0,-0.9259
PALDO,1151F - JUICE PET 200-450ML,1151 - RTD JUICE,CHILLER,1.11,1.15,0.036,93.0,102.33,0.1003,0.59,0.41,-0.3051,16104.0,16989.0,0.055,9501.0,6965.0,-0.2669,158.0,249.0,0.5759
PROMO MARKETING,1151F - JUICE PET 200-450ML,1151 - RTD JUICE,CHILLER,1.16,1.44,0.2414,220.5,8.33,-0.9622,1.06,0.36,-0.6604,6514.0,8064.0,0.2379,6905.0,2903.0,-0.5796,208.0,23.0,-0.8894
OLATTE,1151H - JUICE CAN 230-350ML,1151 - RTD JUICE,CHILLER,1.52,1.09,-0.2829,12.5,7.33,-0.4136,0.5,0.35,-0.3,17620.0,12932.0,-0.2661,8810.0,4526.0,-0.4863,25.0,21.0,-0.16
SUNPRIDE,1151H - JUICE CAN 230-350ML,1151 - RTD JUICE,CHILLER,1.14,1.25,0.0965,7.0,8.0,0.1429,0.5,0.35,-0.3,13600.0,14708.0,0.0815,6800.0,5148.0,-0.2429,14.0,23.0,0.6429
S-TEE,1154A - RTD TEA TETRAPACK 200-240ML,1154 - RTD TEA,CHILLER,2.82,3.18,0.1277,5.5,5.67,0.0309,0.61,0.52,-0.1475,7745.0,27747.0,2.5826,4724.0,14428.0,2.0542,9.0,11.0,0.2222
SOSRO,1154A - RTD TEA TETRAPACK 200-240ML,1154 - RTD TEA,CHILLER,,1.5,,,0.67,,,0.33,,,97500.0,,,32175.0,,,2.0,
ULTRA,1154A - RTD TEA TETRAPACK 200-240ML,1154 - RTD TEA,CHILLER,1.65,1.81,0.097,25.5,28.0,0.098,0.64,0.44,-0.3125,6765.0,7692.0,0.137,4330.0,3384.0,-0.2185,40.0,64.0,0.6
FRUIT TEA,1154B - RTD TEA TETRAPACK 250-500ML,1154 - RTD TEA,CHILLER,1.67,2.53,0.515,3.0,10.67,2.5567,0.5,0.37,-0.26,6200.0,9022.0,0.4552,3100.0,3338.0,0.0768,6.0,29.0,3.8333
SOSRO,1154B - RTD TEA TETRAPACK 250-500ML,1154 - RTD TEA,CHILLER,3.02,2.04,-0.3245,80.0,15.0,-0.8125,0.56,0.38,-0.3214,10909.0,7591.0,-0.3042,6109.0,2885.0,-0.5277,144.0,39.0,-0.7292
ULTRA,1154B - RTD TEA TETRAPACK 250-500ML,1154 - RTD TEA,CHILLER,1.0,1.8,0.8,5.5,5.0,-0.0909,0.55,0.38,-0.3091,4091.0,7587.0,0.8546,2250.0,2883.0,0.2813,10.0,13.0,0.3
BONTEH,1154D - RTD TEA PET 250-420ML,1154 - RTD TEA,CHILLER,3.0,,,1.0,,,0.5,,,9600.0,,,4800.0,,,2.0,,
FRESTEA,1154D - RTD TEA PET 250-420ML,1154 - RTD TEA,CHILLER,1.42,1.17,-0.1761,6.0,2.0,-0.6667,0.5,0.33,-0.34,6658.0,5567.0,-0.1639,3329.0,1837.0,-0.4482,12.0,6.0,-0.5
FRUIT TEA,1154D - RTD TEA PET 250-420ML,1154 - RTD TEA,CHILLER,1.06,1.51,0.4245,148.5,39.67,-0.7329,0.61,0.4,-0.3443,4375.0,6105.0,0.3954,2669.0,2442.0,-0.0851,242.0,98.0,-0.595
ICHI,1154D - RTD TEA PET 250-420ML,1154 - RTD TEA,CHILLER,2.15,2.21,0.0279,6.5,11.33,0.7431,0.65,0.52,-0.2,6892.0,7141.0,0.0361,4480.0,3713.0,-0.1712,10.0,22.0,1.2
ICHITAN,1154D - RTD TEA PET 250-420ML,1154 - RTD TEA,CHILLER,1.1,1.33,0.2091,5.0,2.0,-0.6,0.5,0.33,-0.34,5430.0,8783.0,0.6175,2715.0,2898.0,0.0674,10.0,6.0,-0.4
NU,1154D - RTD TEA PET 250-420ML,1154 - RTD TEA,CHILLER,1.0,1.0,0.0,1.0,1.33,0.33,0.5,0.33,-0.34,4500.0,4550.0,0.0111,2250.0,1502.0,-0.3324,2.0,4.0,1.0
PROMO MARKETING,1154D - RTD TEA PET 250-420ML,1154 - RTD TEA,CHILLER,1.0,1.26,0.26,13.0,69.33,4.3331,0.57,0.46,-0.193,4500.0,5668.0,0.2596,2565.0,2607.0,0.0164,23.0,152.0,5.6087
PUCUK HARUM,1154D - RTD TEA PET 250-420ML,1154 - RTD TEA,CHILLER,1.79,3.71,1.0726,66.5,52.33,-0.2131,0.55,0.38,-0.3091,6679.0,14165.0,1.1208,3673.0,5383.0,0.4656,120.0,136.0,0.1333
S-TEE,1154D - RTD TEA PET 250-420ML,1154 - RTD TEA,CHILLER,1.26,2.17,0.7222,17.0,2.0,-0.8824,0.55,0.33,-0.4,4079.0,7167.0,0.757,2243.0,2365.0,0.0544,31.0,6.0,-0.8065
SOSRO,1154D - RTD TEA PET 250-420ML,1154 - RTD TEA,CHILLER,1.09,1.27,0.1651,112.5,13.67,-0.8785,0.82,0.43,-0.4756,4247.0,5027.0,0.1837,3483.0,2162.0,-0.3793,137.0,32.0,-0.7664
TEH GELAS,1154D - RTD TEA PET 250-420ML,1154 - RTD TEA,CHILLER,3.3,4.4,0.3333,5.0,6.67,0.334,0.5,0.39,-0.22,10890.0,14520.0,0.3333,5445.0,5663.0,0.04,10.0,17.0,0.7
CHI FOREST,1154E - RTD TEA PET 450-500ML,1154 - RTD TEA,CHILLER,,1.0,,,3.0,,,0.33,,,8456.0,,,2790.0,,,9.0,
FRESTEA,1154E - RTD TEA PET 450-500ML,1154 - RTD TEA,CHILLER,1.83,4.12,1.2514,9.0,16.67,0.8522,0.5,0.45,-0.1,11761.0,26792.0,1.278,5880.0,12056.0,1.0503,18.0,37.0,1.0556
FRUIT TEA,1154E - RTD TEA PET 450-500ML,1154 - RTD TEA,CHILLER,1.08,1.48,0.3704,18.5,27.33,0.4773,0.5,0.41,-0.18,8092.0,10861.0,0.3422,4046.0,4453.0,0.1006,37.0,67.0,0.8108
NU,1154E - RTD TEA PET 450-500ML,1154 - RTD TEA,CHILLER,1.39,1.49,0.0719,22.0,18.33,-0.1668,0.52,0.5,-0.0385,9652.0,10404.0,0.0779,5019.0,5202.0,0.0365,42.0,37.0,-0.119
PROMO MARKETING,1154E - RTD TEA PET 450-500ML,1154 - RTD TEA,CHILLER,1.0,1.72,0.72,7.0,194.67,26.81,0.58,0.68,0.1724,6400.0,10981.0,0.7158,3712.0,7467.0,1.0116,12.0,287.0,22.9167
PUCUK HARUM,1154E - RTD TEA PET 450-500ML,1154 - RTD TEA,CHILLER,1.06,1.17,0.1038,8.5,13.67,0.6082,0.57,0.4,-0.2982,7312.0,8132.0,0.1121,4168.0,3253.0,-0.2195,15.0,34.0,1.2667
SOSRO,1154E - RTD TEA PET 450-500ML,1154 - RTD TEA,CHILLER,1.43,1.83,0.2797,7.0,12.0,0.7143,0.5,0.4,-0.2,10036.0,12983.0,0.2936,5018.0,5193.0,0.0349,14.0,30.0,1.1429
TEBS,1154E - RTD TEA PET 450-500ML,1154 - RTD TEA,CHILLER,1.0,1.38,0.38,5.5,8.0,0.4545,0.55,0.4,-0.2727,8318.0,11100.0,0.3345,4575.0,4440.0,-0.0295,10.0,20.0,1.0
TEBS,1154G - RTD TEA CAN,1154 - RTD TEA,CHILLER,2.0,1.5,-0.25,4.0,2.0,-0.5,0.57,0.33,-0.4211,11550.0,9200.0,-0.2035,6583.0,3036.0,-0.5388,7.0,6.0,-0.1429
FRESTEA,1154J - RTD TEA PET >=1000ML,1154 - RTD TEA,CHILLER,1.08,1.0,-0.0741,6.5,3.0,-0.5385,0.65,0.43,-0.3385,18308.0,17111.0,-0.0654,11900.0,7358.0,-0.3817,10.0,7.0,-0.3
PROMO MARKETING,1154J - RTD TEA PET >=1000ML,1154 - RTD TEA,CHILLER,1.0,1.09,0.09,18.0,7.67,-0.5739,0.55,0.33,-0.4,17000.0,18478.0,0.0869,9350.0,6098.0,-0.3478,33.0,23.0,-0.303
PUCUK HARUM,1154J - RTD TEA PET >=1000ML,1154 - RTD TEA,CHILLER,1.25,1.0,-0.2,2.0,3.33,0.665,0.5,0.42,-0.16,16650.0,13180.0,-0.2084,8325.0,5536.0,-0.335,4.0,8.0,1.0
ICHITAN,1154K - RTD MILK TEA PET,1154 - RTD TEA,CHILLER,1.25,1.41,0.128,32.0,32.0,0.0,0.58,0.41,-0.2931,11000.0,12792.0,0.1629,6380.0,5245.0,-0.1779,55.0,78.0,0.4182
NU,1154K - RTD MILK TEA PET,1154 - RTD TEA,CHILLER,1.78,1.08,-0.3933,30.0,16.0,-0.4667,0.65,0.38,-0.4154,14653.0,9065.0,-0.3814,9524.0,3445.0,-0.6383,46.0,42.0,-0.087
PUCUK HARUM,1154L - RTD TEA LESS SUGAR,1154 - RTD TEA,CHILLER,1.28,1.31,0.0234,12.5,22.67,0.8136,0.57,0.38,-0.3333,6376.0,5922.0,-0.0712,3634.0,2250.0,-0.3808,22.0,60.0,1.7273
SOSRO,1154L - RTD TEA LESS SUGAR,1154 - RTD TEA,CHILLER,1.29,1.26,-0.0233,15.5,14.33,-0.0755,0.57,0.48,-0.1579,4662.0,5091.0,0.092,2657.0,2444.0,-0.0802,27.0,30.0,0.1111
ULTRA,1154L - RTD TEA LESS SUGAR,1154 - RTD TEA,CHILLER,1.25,1.5,0.2,4.0,2.67,-0.3325,0.5,0.33,-0.34,5150.0,6300.0,0.2233,2575.0,2079.0,-0.1926,8.0,8.0,0.0
LOKALATE,1156A - RTD COFFEE TETRAPACK,1156 - RTD COFFEE,CHILLER,,1.67,,,1.0,,,0.5,,,12500.0,,,6250.0,,,2.0,
NESCAFE,1156A - RTD COFFEE TETRAPACK,1156 - RTD COFFEE,CHILLER,1.0,1.14,0.14,3.5,4.67,0.3343,0.5,0.33,-0.34,5757.0,6714.0,0.1662,2878.0,2216.0,-0.23,7.0,14.0,1.0
OATSIDE,1156A - RTD COFFEE TETRAPACK,1156 - RTD COFFEE,CHILLER,1.17,1.23,0.0513,9.0,11.67,0.2967,0.5,0.39,-0.22,9217.0,9706.0,0.0531,4608.0,3785.0,-0.1786,18.0,30.0,0.6667
ABC,"1156B - RTD COFFEE CAN, BOTTLE, PET",1156 - RTD COFFEE,CHILLER,1.18,1.17,-0.0085,45.5,44.33,-0.0257,0.59,0.43,-0.2712,5299.0,5253.0,-0.0087,3126.0,2259.0,-0.2774,77.0,103.0,0.3377
CAFFINO,"1156B - RTD COFFEE CAN, BOTTLE, PET",1156 - RTD COFFEE,CHILLER,1.29,1.11,-0.1395,3.5,6.33,0.8086,0.5,0.4,-0.2,10129.0,8721.0,-0.139,5064.0,3488.0,-0.3112,7.0,16.0,1.2857
F&N,"1156B - RTD COFFEE CAN, BOTTLE, PET",1156 - RTD COFFEE,CHILLER,,1.0,,,2.33,,,0.47,,,7914.0,,,3720.0,,,5.0,
GOLDA,"1156B - RTD COFFEE CAN, BOTTLE, PET",1156 - RTD COFFEE,CHILLER,1.32,1.39,0.053,72.5,79.33,0.0942,0.62,0.49,-0.2097,5674.0,5945.0,0.0478,3518.0,2913.0,-0.172,117.0,163.0,0.3932
GOOD DAY,"1156B - RTD COFFEE CAN, BOTTLE, PET",1156 - RTD COFFEE,CHILLER,1.11,1.21,0.0901,51.5,38.67,-0.2491,0.59,0.39,-0.339,8417.0,9248.0,0.0987,4966.0,3607.0,-0.2737,88.0,100.0,0.1364
HY,"1156B - RTD COFFEE CAN, BOTTLE, PET",1156 - RTD COFFEE,CHILLER,1.06,1.0,-0.0566,8.0,3.33,-0.5838,0.5,0.33,-0.34,10094.0,9500.0,-0.0588,5047.0,3135.0,-0.3788,16.0,10.0,-0.375
HYDRO COCO,"1156B - RTD COFFEE CAN, BOTTLE, PET",1156 - RTD COFFEE,CHILLER,,1.0,,,3.33,,,0.33,,,16500.0,,,5445.0,,,10.0,
ICHITAN,"1156B - RTD COFFEE CAN, BOTTLE, PET",1156 - RTD COFFEE,CHILLER,1.11,1.08,-0.027,9.5,8.33,-0.1232,0.53,0.38,-0.283,10168.0,9936.0,-0.0228,5389.0,3776.0,-0.2993,18.0,22.0,0.2222
KAPAL API,"1156B - RTD COFFEE CAN, BOTTLE, PET",1156 - RTD COFFEE,CHILLER,1.25,1.16,-0.072,20.0,18.33,-0.0835,0.53,0.37,-0.3019,7530.0,7120.0,-0.0544,3991.0,2634.0,-0.34,38.0,49.0,0.2895
KOPI KENANGAN,"1156B - RTD COFFEE CAN, BOTTLE, PET",1156 - RTD COFFEE,CHILLER,1.11,1.12,0.009,35.5,37.0,0.0423,0.55,0.38,-0.3091,8928.0,9196.0,0.03,4910.0,3494.0,-0.2884,65.0,98.0,0.5077
KOPIKO,"1156B - RTD COFFEE CAN, BOTTLE, PET",1156 - RTD COFFEE,CHILLER,1.2,1.16,-0.0333,7.5,6.33,-0.156,0.5,0.35,-0.3,9860.0,9858.0,-0.0002,4930.0,3450.0,-0.3002,15.0,18.0,0.2
LUWAK,"1156B - RTD COFFEE CAN, BOTTLE, PET",1156 - RTD COFFEE,CHILLER,1.1,1.25,0.1364,10.5,6.67,-0.3648,0.52,0.33,-0.3654,7838.0,9060.0,0.1559,4076.0,2990.0,-0.2664,20.0,20.0,0.0
NESCAFE,"1156B - RTD COFFEE CAN, BOTTLE, PET",1156 - RTD COFFEE,CHILLER,1.87,1.41,-0.246,117.5,98.67,-0.1603,0.67,0.4,-0.403,14477.0,10832.0,-0.2518,9700.0,4333.0,-0.5533,175.0,247.0,0.4114
POLARIS,"1156B - RTD COFFEE CAN, BOTTLE, PET",1156 - RTD COFFEE,CHILLER,1.22,1.08,-0.1148,4.5,4.33,-0.0378,1.12,0.33,-0.7054,8433.0,8077.0,-0.0422,9445.0,2665.0,-0.7178,4.0,13.0,2.25
STARBUCKS,"1156B - RTD COFFEE CAN, BOTTLE, PET",1156 - RTD COFFEE,CHILLER,1.2,1.09,-0.0917,5.0,3.67,-0.266,0.56,0.41,-0.2679,21320.0,16582.0,-0.2222,11939.0,6799.0,-0.4305,9.0,9.0,0.0
