SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
1111A - ENERGY DRINK LIQUID BOTTLE  100-250ML,1111 - ENERGY DRINK,CHILLER,1.13,1.22,0.0796,23.0,17.0,-0.2609,0.59,0.34,-0.4237,7374.0,8016.0,0.0871,4351.0,2725.0,-0.3737,39.0,50.0,0.2821
1111B - ENERGY DRINK LIQUID CAN 200-350ML,1111 - ENERGY DRINK,CHILLER,1.27,1.19,-0.063,11.0,9.0,-0.1818,0.73,0.75,0.0274,11764.0,10307.0,-0.1239,8588.0,7730.0,-0.0999,15.0,12.0,-0.2
1112A - CARBONATED DRINK CAN 200-250ML,1112 - CARBONATED DRINK,CHILLER,1.25,1.14,-0.088,8.0,14.33,0.7912,0.57,0.38,-0.3333,8738.0,7579.0,-0.1326,4981.0,2880.0,-0.4218,14.0,38.0,1.7143
1112C - CARBONATED DRINK PET 250-450 ML,1112 - CARBONATED DRINK,CHILLER,1.16,1.41,0.2155,341.0,200.67,-0.4115,0.88,0.44,-0.5,6232.0,7385.0,0.185,5484.0,3249.0,-0.4075,389.0,451.0,0.1594
1112D - CARBONATED DRINK PET 425-500ML,1112 - CARBONATED DRINK,CHILLER,1.2,1.13,-0.0583,12.5,15.0,0.2,0.54,0.39,-0.2778,11208.0,10571.0,-0.0568,6052.0,4123.0,-0.3187,23.0,38.0,0.6522
1112E - CARBONATED DRINK PET 1000-1800ML,1112 - CARBONATED DRINK,CHILLER,1.14,1.22,0.0702,294.0,78.0,-0.7347,0.92,0.44,-0.5217,15731.0,13247.0,-0.1579,14473.0,5829.0,-0.5973,319.0,177.0,-0.4451
1113B - MINERAL WATER PET 330-400ML,1113 - MINERAL WATER,CHILLER,5.25,1.92,-0.6343,51.5,46.67,-0.0938,0.57,0.37,-0.3509,16976.0,9654.0,-0.4313,9676.0,3572.0,-0.6308,91.0,127.0,0.3956
1113C - MINERAL WATER PET 500-750ML,1113 - MINERAL WATER,CHILLER,1.85,1.89,0.0216,739.5,718.67,-0.0282,0.69,0.52,-0.2464,6343.0,6495.0,0.024,4377.0,3377.0,-0.2285,1070.0,1394.0,0.3028
1113D - MINERAL WATER PET 1-1.5L,1113 - MINERAL WATER,CHILLER,1.79,1.74,-0.0279,248.0,287.33,0.1586,0.77,0.56,-0.2727,10983.0,11308.0,0.0296,8457.0,6332.0,-0.2513,322.0,510.0,0.5839
1113I - FUNCTIONAL DRINK,1113 - MINERAL WATER,CHILLER,2.37,2.02,-0.1477,110.0,110.67,0.0061,0.69,0.49,-0.2899,11934.0,11710.0,-0.0188,8234.0,5738.0,-0.3031,159.0,225.0,0.4151
1114A - ISOTONIC DRINK PET 100-250ML,1114 - ISOTONIC DRINK,CHILLER,1.19,1.23,0.0336,44.0,45.0,0.0227,0.57,0.41,-0.2807,10084.0,10513.0,0.0425,5748.0,4310.0,-0.2502,77.0,109.0,0.4156
1114B - ISOTONIC DRINK PET 300-380ML,1114 - ISOTONIC DRINK,CHILLER,1.39,1.22,-0.1223,63.5,79.67,0.2546,0.54,0.4,-0.2593,8780.0,7142.0,-0.1866,4741.0,2857.0,-0.3974,118.0,199.0,0.6864
