SECTION,CATEGORY,SUBCATEGORY,BRAND,SEGMENT_VALUE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_BEFORE,SPB_AFTER,SPB_BEFORE,SPT_AFTER,SPT_BEFORE,BUYER_COUNT_GROWTH,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_GROWTH,SPT_GROWTH,SPB_GROWTH,SEGMENT_TYPE,VERSI
BISC & CONFECTIONARY,2301 - JELLY & PUDDING,2301B - JELLY PACK,WONG COCO,OTHERS,,1.0,,0.5,,1.0,,1.0,,17400.0,,17400.0,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2312 - CHINESE PRESERVED FRUIT,2312A - CHINESE PRESERVED FRUIT,SUNGIFT,OTHERS,1.0,1.0,0.33,0.5,1.0,1.0,1.0,1.0,35900.0,34900.0,35900.0,34900.0,0.0,0.0,-0.34,0.0,0.0287,0.0287,Packtype,V1
BISC & CONFECTIONARY,2322 - CAN & BOTTLE CANDY,2322A - CAN CANDY,KIS,OTHERS,,2.75,,4.0,,8.0,,1.0,,62700.0,,62700.0,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2322 - CAN & BOTTLE CANDY,2322A - CAN CANDY,KOPIKO,OTHERS,,1.5,,1.0,,2.0,,1.0,,34250.0,,34250.0,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2322 - CAN & BOTTLE CANDY,2322A - CAN CANDY,TAMARIN,OTHERS,,1.0,,1.0,,2.0,,1.0,,22800.0,,22800.0,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2322 - CAN & BOTTLE CANDY,2322A - CAN CANDY,YUPI,CAN,1.03,1.05,48.0,51.5,137.0,99.0,1.05,1.04,13232.0,13952.0,12602.0,13415.0,0.3838,-0.019,-0.068,0.0096,-0.0606,-0.0516,Packtype,V1
BISC & CONFECTIONARY,2323 - BAG CANDY,2323A - BAG CANDY,ALPENLIEBE,BAG,1.0,1.06,17.67,18.0,50.0,34.0,1.06,1.06,21762.0,21942.0,20530.0,20700.0,0.4706,-0.0566,-0.0183,0.0,-0.0082,-0.0082,Packtype,V1
BISC & CONFECTIONARY,2323 - BAG CANDY,2323A - BAG CANDY,ANTANGIN,OTHERS,1.17,1.13,6.0,7.5,16.0,14.0,1.12,1.07,10316.0,9095.0,9211.0,8500.0,0.1429,0.0354,-0.2,0.0467,0.0836,0.1342,Packtype,V1
BISC & CONFECTIONARY,2323 - BAG CANDY,2323A - BAG CANDY,BLASTER,BAG,1.04,1.02,52.67,66.0,148.0,126.0,1.07,1.05,10302.0,9597.0,9628.0,9140.0,0.1746,0.0196,-0.202,0.019,0.0534,0.0735,Packtype,V1
BISC & CONFECTIONARY,2323 - BAG CANDY,2323A - BAG CANDY,BONTEA,OTHERS,1.2,1.0,1.67,1.0,5.0,2.0,1.0,1.0,10200.0,8500.0,10200.0,8500.0,1.5,0.2,0.67,0.0,0.2,0.2,Packtype,V1
