PLU,DESCP,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
417654,PRINGLE KAOS KAKI,5523 - MENS SOCK,ACCESSORIES,1.0,1.14,0.14,4.0,7.0,0.75,1.0,1.0,0.0,31562.0,35714.0,0.1316,31562.0,35714.0,0.1316,8.0,21.0,1.625
448605,ALFA DISNEY SISIR D125,5811 - COMB,ACCESSORIES,1.0,1.08,0.08,4.5,4.33,-0.0378,1.0,1.0,0.0,39900.0,42969.0,0.0769,39900.0,42969.0,0.0769,9.0,13.0,0.4444
451139,SANRIO SISIR GLOSY,5811 - COMB,ACCESSORIES,,1.0,,,0.67,,,1.0,,,37900.0,,,37900.0,,,2.0,
441927,DISNEY PRINCESS SISIR F24,5811 - COMB,ACCESSORIES,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,34900.0,34900.0,0.0,34900.0,34900.0,0.0,1.0,3.0,2.0
440592,FROZEN SISIR (METALIC),5811 - COMB,ACCESSORIES,1.0,,,1.0,,,1.0,,,22900.0,,,22900.0,,,2.0,,
438614,PRINCESS SISIR D100S2,5811 - COMB,ACCESSORIES,2.0,,,0.5,,,1.0,,,45800.0,,,45800.0,,,1.0,,
444861,SANRIO SISIR A124,5811 - COMB,ACCESSORIES,1.0,2.0,1.0,0.5,0.33,-0.34,1.0,1.0,0.0,37900.0,75800.0,1.0,37900.0,75800.0,1.0,1.0,1.0,0.0
447428,SANRIO SISIR A224,5811 - COMB,ACCESSORIES,1.0,1.0,0.0,1.5,1.33,-0.1133,1.0,1.33,0.33,37900.0,37900.0,0.0,37900.0,50407.0,0.33,3.0,3.0,0.0
122903,TRENDY HAIR COMB HC-164-1,5811 - COMB,ACCESSORIES,1.0,1.0,0.0,16.0,14.33,-0.1044,1.0,1.0,0.0,12403.0,12444.0,0.0033,12403.0,12444.0,0.0033,32.0,43.0,0.3438
153361,"TRENDY SISIR VITEX V-5""",5811 - COMB,ACCESSORIES,1.06,1.0,-0.0566,17.0,18.67,0.0982,1.03,1.04,0.0097,5959.0,5555.0,-0.0678,6138.0,5777.0,-0.0588,33.0,54.0,0.6364
418378,ALFA/SCRLINES BASIC HAIR BAND6S,5812 - HAIR ACCESSORIES,ACCESSORIES,1.29,1.0,-0.2248,3.5,2.67,-0.2371,1.17,1.0,-0.1453,21371.0,16125.0,-0.2455,25004.0,16125.0,-0.3551,6.0,8.0,0.3333
419573,ALFA/SCRLINES JEPIT SALON KECIL,5812 - HAIR ACCESSORIES,ACCESSORIES,1.0,1.0,0.0,11.0,5.0,-0.5455,1.05,1.0,-0.0476,9900.0,12713.0,0.2841,10395.0,12713.0,0.223,21.0,15.0,-0.2857
419574,ALFA/SCORLINES JEDAY,5812 - HAIR ACCESSORIES,ACCESSORIES,1.0,1.0,0.0,13.5,12.67,-0.0615,1.0,1.0,0.0,15496.0,15545.0,0.0032,15496.0,15545.0,0.0032,27.0,38.0,0.4074
433290,ALFA/SCORLINES JEDAY JELLY AST,5812 - HAIR ACCESSORIES,ACCESSORIES,1.08,1.0,-0.0741,6.0,6.0,0.0,1.0,1.0,0.0,16550.0,15622.0,-0.0561,16550.0,15622.0,-0.0561,12.0,18.0,0.5
433292,ALFA IKAT RAMBUT WRN 6S AST,5812 - HAIR ACCESSORIES,ACCESSORIES,1.0,1.0,0.0,4.0,6.0,0.5,1.0,1.0,0.0,15900.0,15900.0,0.0,15900.0,15900.0,0.0,8.0,18.0,1.25
447920,ALFA CEPOL HIJAB,5812 - HAIR ACCESSORIES,ACCESSORIES,1.0,1.0,0.0,6.0,0.33,-0.945,1.0,1.0,0.0,29900.0,29900.0,0.0,29900.0,29900.0,0.0,12.0,1.0,-0.9167
447923,ALFA SISIR TANGLE BRUSH,5812 - HAIR ACCESSORIES,ACCESSORIES,1.0,1.0,0.0,2.0,6.0,2.0,1.0,1.06,0.06,34900.0,34900.0,0.0,34900.0,36994.0,0.06,4.0,17.0,3.25
418375,SCORLINES KARET JEPANG WARNA,5812 - HAIR ACCESSORIES,ACCESSORIES,1.0,,,1.0,,,1.0,,,13200.0,,,13200.0,,,2.0,,
418548,SCORLINES PITA RAMBUT BESAR AST,5812 - HAIR ACCESSORIES,ACCESSORIES,,1.0,,,0.33,,,1.0,,,19200.0,,,19200.0,,,1.0,
418549,SCORLINES PITA RAMBUT KECIL AST,5812 - HAIR ACCESSORIES,ACCESSORIES,1.0,1.0,0.0,0.5,0.33,-0.34,1.0,1.0,0.0,9500.0,12500.0,0.3158,9500.0,12500.0,0.3158,1.0,1.0,0.0
419571,ALFA KARET JEPANG BASIC,5812 - HAIR ACCESSORIES,ACCESSORIES,1.0,1.0,0.0,4.5,8.0,0.7778,1.0,1.04,0.04,12800.0,12962.0,0.0127,12800.0,13480.0,0.0531,9.0,23.0,1.5556
449026,WETBRUSH MINI BLACK (OL),5812 - HAIR ACCESSORIES,ACCESSORIES,,1.0,,,0.33,,,1.0,,,77900.0,,,77900.0,,,1.0,
449027,WETBRUSH MINI PINK (OL),5812 - HAIR ACCESSORIES,ACCESSORIES,1.0,1.0,0.0,1.0,0.33,-0.67,1.0,1.0,0.0,82850.0,77900.0,-0.0597,82850.0,77900.0,-0.0597,2.0,1.0,-0.5
449028,WETBRUSH MINI DISNEY ARIEL (OL),5812 - HAIR ACCESSORIES,ACCESSORIES,,1.0,,,0.67,,,1.0,,,106900.0,,,106900.0,,,2.0,
449030,WETBRUSH MINI DISNEY BELLE (OL),5812 - HAIR ACCESSORIES,ACCESSORIES,,1.0,,,0.33,,,1.0,,,106900.0,,,106900.0,,,1.0,
449032,WETBRUSH MINI DISNEY JASMNE(OL),5812 - HAIR ACCESSORIES,ACCESSORIES,,1.0,,,0.33,,,1.0,,,106900.0,,,106900.0,,,1.0,
449033,WETBRUSH MINI DSNY RAPUNZEL(OL),5812 - HAIR ACCESSORIES,ACCESSORIES,,1.0,,,0.33,,,1.0,,,106900.0,,,106900.0,,,1.0,
411151,ALFAMART/MIDI JARUM PENITI 80S,5813 - PIN & SCISSORS NAIL,ACCESSORIES,1.0,1.0,0.0,16.5,10.0,-0.3939,1.0,1.0,0.0,18270.0,18233.0,-0.002,18270.0,18233.0,-0.002,33.0,30.0,-0.0909
437786,ALFA BT21 NAIL CLIPPER,5813 - PIN & SCISSORS NAIL,ACCESSORIES,1.0,1.0,0.0,1.5,0.33,-0.78,1.0,1.0,0.0,22667.0,22500.0,-0.0074,22667.0,22500.0,-0.0074,3.0,1.0,-0.6667
403168,SCORLINES GUNTING KUKU BESAR,5813 - PIN & SCISSORS NAIL,ACCESSORIES,1.0,1.01,0.01,20.5,29.33,0.4307,1.0,1.01,0.01,20534.0,21127.0,0.0289,20534.0,21338.0,0.0392,41.0,87.0,1.122
124948,TRENDY GUNTING KUKU TD-622E,5813 - PIN & SCISSORS NAIL,ACCESSORIES,1.0,1.07,0.07,9.5,4.67,-0.5084,1.06,1.0,-0.0566,23205.0,24579.0,0.0592,24597.0,24579.0,-0.0007,18.0,14.0,-0.2222
441172,ALFA BT21 MAKEUP SPONGE,5814 - BEAUTY ACCESSORIES,ACCESSORIES,1.0,1.0,0.0,0.5,1.33,1.66,1.0,1.0,0.0,17900.0,17900.0,0.0,17900.0,17900.0,0.0,1.0,4.0,3.0
424308,MARVEL TOPI SEPEDA,5814 - BEAUTY ACCESSORIES,ACCESSORIES,1.0,,,0.5,,,1.0,,,36500.0,,,36500.0,,,1.0,,
433707,MARVEL SPIDERMAN TOPI,5814 - BEAUTY ACCESSORIES,ACCESSORIES,1.0,,,0.5,,,1.0,,,52700.0,,,52700.0,,,1.0,,
128986,SCORLINES SPONS BULAT,5814 - BEAUTY ACCESSORIES,ACCESSORIES,1.18,1.17,-0.0085,5.5,6.0,0.0909,1.0,1.06,0.06,12945.0,12322.0,-0.0481,12945.0,13061.0,0.009,11.0,17.0,0.5455
128988,SCORLINES SPONS COMPACT 2S,5814 - BEAUTY ACCESSORIES,ACCESSORIES,1.0,1.08,0.08,9.0,8.67,-0.0367,1.0,1.0,0.0,11900.0,12165.0,0.0223,11900.0,12165.0,0.0223,18.0,26.0,0.4444
437781,ALFA BT21 IKAT RAMBUT,5911 - HAIR ACCESSORIES IMPORT,ACCESSORIES,1.0,1.0,0.0,0.5,0.67,0.34,1.0,1.0,0.0,15900.0,15900.0,0.0,15900.0,15900.0,0.0,1.0,2.0,1.0
437782,ALFA BT21 IKAT RAMBUT ICON,5911 - HAIR ACCESSORIES IMPORT,ACCESSORIES,,1.0,,,0.33,,,1.0,,,25000.0,,,25000.0,,,1.0,
437783,ALFA BT21 DUCK CIIP,5911 - HAIR ACCESSORIES IMPORT,ACCESSORIES,,1.0,,,0.33,,,1.0,,,28500.0,,,28500.0,,,1.0,
437784,ALFA BT21 SCRUNCHIES,5911 - HAIR ACCESSORIES IMPORT,ACCESSORIES,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,28900.0,28900.0,0.0,28900.0,28900.0,0.0,2.0,3.0,0.5
441170,ALFA BT21 SISIR KECIL,5911 - HAIR ACCESSORIES IMPORT,ACCESSORIES,1.0,,,1.0,,,1.0,,,27500.0,,,27500.0,,,2.0,,
441171,ALFA BT21 SCRUNCHIES AST,5911 - HAIR ACCESSORIES IMPORT,ACCESSORIES,1.0,1.0,0.0,0.5,1.67,2.34,1.0,1.0,0.0,28900.0,28900.0,0.0,28900.0,28900.0,0.0,1.0,5.0,4.0
440593,FROZEN AKSESORIS RAMBUT,5911 - HAIR ACCESSORIES IMPORT,ACCESSORIES,1.0,1.0,0.0,2.5,0.33,-0.868,1.0,1.0,0.0,14900.0,22900.0,0.5369,14900.0,22900.0,0.5369,5.0,1.0,-0.8
438615,PRINCESS HAIR CLOW D100S,5911 - HAIR ACCESSORIES IMPORT,ACCESSORIES,1.0,1.0,0.0,0.5,0.67,0.34,1.0,1.0,0.0,11300.0,17900.0,0.5841,11300.0,17900.0,0.5841,1.0,2.0,1.0
433571,AIRPRO COOL WAVES 10ML,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.0,1.14,0.14,12.5,4.67,-0.6264,1.0,1.0,0.0,35100.0,36836.0,0.0495,35100.0,36836.0,0.0495,25.0,14.0,-0.44
433572,AIRPRO WODDEN INVICTUS 10ML(OL),4741 - CAR AIR FRESHENER,AIR FRESHNER,,1.0,,,0.33,,,1.0,,,26900.0,,,26900.0,,,1.0,
437621,AIRPRO WODDEN SAUVIGNON10ML(OL),4741 - CAR AIR FRESHENER,AIR FRESHNER,,1.0,,,0.33,,,1.0,,,26900.0,,,26900.0,,,1.0,
437622,AIRPRO  CHANEL 10ML,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.0,1.05,0.05,6.5,7.0,0.0769,1.0,1.0,0.0,32500.0,33829.0,0.0409,32500.0,33829.0,0.0409,13.0,21.0,0.6154
444493,AIRPRO CAR PERFUME LUSH 9ML(OL),4741 - CAR AIR FRESHENER,AIR FRESHNER,1.0,,,0.5,,,1.0,,,34900.0,,,34900.0,,,1.0,,
444494,AIRPRO CAR PERFUME BREZE9ML(OL),4741 - CAR AIR FRESHENER,AIR FRESHNER,1.0,,,0.5,,,1.0,,,34900.0,,,34900.0,,,1.0,,
446335,AIRPRO VIVA LIFE PAPER TOKYO 4G,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.29,1.05,-0.186,22.5,14.33,-0.3631,1.05,1.0,-0.0476,18871.0,15628.0,-0.1719,19815.0,15628.0,-0.2113,43.0,43.0,0.0
446336,AIRPRO VIVA LIFE PAPER PARIS 4G,4741 - CAR AIR FRESHENER,AIR FRESHNER,1.23,1.0,-0.187,15.0,13.67,-0.0887,1.11,1.0,-0.0991,18243.0,14937.0,-0.1812,20250.0,14937.0,-0.2624,27.0,41.0,0.5185
447106,AIRPRO CAR PARF VIVA NY 42G(OL),4741 - CAR AIR FRESHENER,AIR FRESHNER,2.0,,,0.5,,,1.0,,,78600.0,,,78600.0,,,1.0,,
449300,AIRPRO WODDEN SIGNATURE10ML(OL),4741 - CAR AIR FRESHENER,AIR FRESHNER,,1.0,,,1.0,,,1.0,,,26967.0,,,26967.0,,,3.0,
449301,AIRPRO WODDEN AVENTUS 10ML(OL),4741 - CAR AIR FRESHENER,AIR FRESHNER,,1.0,,,0.67,,,1.0,,,27000.0,,,27000.0,,,2.0,
